Age,Gender,AnnualIncome,NumberOfPurchases,ProductCategory,TimeSpentOnWebsite,LoyaltyProgram,DiscountsAvailed,PurchaseStatus
40,0,98472.83607271877,20,0,53.05186978022514,0,2,0
25,0,44363.55273268569,4,3,7.011613484321616,1,1,0
68,0,41751.76952013785,19,3,14.812057233267794,0,3,0
68,0,55711.49595622596,15,3,22.18104531667656,0,5,0
43,0,33234.4787834398,20,1,51.35446763895064,0,4,0
23,1,39149.395756266145,2,1,26.425538854581287,0,4,0
26,1,107636.93841968819,1,2,14.377319387003324,0,0,0
35,1,70116.54761579991,4,4,40.45158220897569,1,2,1
70,0,85814.58773437636,19,0,13.078447783049935,1,0,0
31,1,67812.17840829988,6,3,49.3060618126673,0,1,1
43,0,118837.67700587754,3,1,8.367334537449437,1,0,0
43,1,69986.47259382563,19,2,55.46726532853663,1,4,1
27,1,103956.91021724296,2,0,32.59243202976029,0,1,0
36,1,144485.53196089625,19,2,31.01282450303318,0,4,0
31,1,115923.0374129989,2,1,35.61813901907323,0,1,0
58,1,111633.23130563962,8,1,44.237461899072514,0,5,1
47,1,49291.20089366056,13,4,1.2872360516746904,0,4,0
29,0,64518.237248512734,6,3,54.11842213489496,0,1,1
44,0,114377.38829808841,16,0,5.619798558293892,1,5,1
54,1,90906.14302289771,3,1,51.63019657657261,1,0,0
24,0,98084.63865128627,19,0,4.63880043363649,0,0,0
54,0,28320.825059120718,3,1,47.31540333628746,1,4,1
55,0,29911.09833656338,15,2,34.0233287197705,0,5,0
29,0,149326.50821557362,20,4,3.5625680769026102,0,3,1
23,0,142681.2070666287,12,2,25.50042481679641,0,2,0
25,1,65146.01507396598,6,1,38.490247321475344,0,4,1
54,1,113399.0131519315,11,0,29.652213307895405,0,1,0
18,1,26716.933815534943,6,3,29.218736383151537,0,0,0
34,1,145241.27644776157,10,2,28.629734895926724,0,2,0
62,1,93492.9330943093,0,0,26.36083551484617,0,3,0
70,1,59135.99011846069,5,3,18.858073412346524,0,0,1
58,1,90382.98895518607,5,3,41.27335750709702,0,2,0
36,0,29825.869801028704,5,0,42.942765497171955,0,4,1
23,1,20017.51009058309,5,3,23.93181028958608,0,5,0
52,0,22722.844934018667,18,2,50.149021572523125,0,3,0
33,0,96410.01691208578,14,1,21.25928958489978,0,0,0
47,0,43065.7400310619,7,0,17.226461576780068,1,2,0
40,1,36167.89187006633,20,0,49.71060206951388,0,2,0
52,0,69898.28375129572,12,1,43.32499366971543,0,4,1
57,1,112561.8226430015,8,0,18.0590663867069,1,0,0
64,1,132261.17792689087,13,3,35.30578292778883,0,1,0
43,0,45897.9857362269,1,4,24.79849399655484,0,2,0
41,0,70461.54179650941,11,2,40.9832109259442,1,1,1
65,1,26529.38149031659,18,3,6.586178439782908,0,4,0
68,1,30007.330718445613,19,3,9.673882339086935,1,5,0
19,1,24590.47614223108,1,3,14.971057541914627,0,5,0
38,0,115929.2611360233,20,3,44.229310848377615,0,5,1
53,1,30017.576287463053,14,3,35.352009479352596,0,4,0
64,0,112523.96474698634,9,4,16.40067510061504,1,4,1
70,1,86224.87665947266,13,0,56.322026176378934,0,2,0
21,1,36652.447027606,16,4,44.28492758150246,1,2,1
58,1,143569.03683620645,20,1,53.43604449201496,0,4,1
56,0,95610.89808859516,5,4,35.65351968333865,0,1,0
32,0,88939.27732239058,18,1,31.73226117934007,1,1,1
18,1,34941.28961774369,4,1,51.11840136578476,0,1,0
22,0,37476.56682305584,2,1,13.2883828340592,0,3,0
64,0,130545.2401455864,18,2,40.64659213769602,0,3,1
68,0,21910.140525144,10,1,27.688829270244256,1,1,0
39,0,126226.65846202607,19,2,20.842177570411234,0,3,1
44,1,121888.77952293394,18,2,23.253548715270366,0,2,0
70,1,86446.78810083987,2,1,27.178385374750402,1,2,0
50,0,136101.72667540394,13,1,55.206090983450835,0,2,0
43,1,114767.53801525614,12,2,50.4096027952493,0,2,0
25,0,72231.24408506215,0,2,16.826771176416337,1,3,1
60,0,54492.39788221071,14,2,18.105560995348686,0,4,0
65,1,55499.20529646561,20,4,12.778099651935134,0,5,0
31,0,51356.18948794039,13,4,32.94039566537178,0,1,1
52,1,149123.1520049853,8,3,47.40842477905888,0,2,0
38,1,56530.58485813277,9,3,43.55224358243608,1,5,1
57,1,79069.05349279492,8,4,43.22162230133536,0,2,0
55,1,37596.030696099115,18,1,42.4228714461853,1,4,1
40,1,31322.059683450294,20,1,9.333378183566882,0,2,0
65,0,57988.36996004671,5,0,49.279730056923526,0,3,0
46,0,84195.82525940074,12,1,13.355642578489402,0,3,0
43,0,101042.77456072721,14,4,1.596751467989313,0,5,0
28,0,114836.06972481158,20,1,4.1215385629691985,0,2,0
49,1,135205.45146045968,20,3,6.459184707636429,0,0,0
32,1,58387.764226232626,15,1,36.43579112204377,1,5,1
69,1,120245.96606074525,13,4,33.5869683450824,0,2,0
40,0,136232.2593293226,0,4,4.728108477196455,0,3,0
34,1,102069.98190195853,16,4,41.1183308952732,1,5,1
26,1,107903.08306980642,7,2,20.97806251764532,0,1,0
68,0,102507.2655230124,6,0,52.12061273169345,0,1,0
64,0,72985.9471145962,1,1,50.15830792734178,0,4,0
44,1,85798.44216923173,9,0,20.955627071719807,0,3,0
18,0,29053.349261112744,17,1,35.68623716879406,0,3,1
47,0,73287.63566051747,9,0,57.5859702946618,0,3,1
53,0,55997.58335911516,17,2,13.401326154411937,1,1,0
50,1,76422.5176026038,12,4,15.679026761435727,1,4,1
51,0,85052.14894232617,12,4,30.481310586691347,0,4,1
33,0,79662.26715758664,4,4,36.7930302567762,1,2,0
53,1,21575.700703706127,10,4,59.90080663768644,0,1,0
52,0,79310.74616422047,3,2,11.409946457750669,0,0,0
27,0,145689.9149739071,18,4,22.548447649156035,0,3,1
40,0,30850.331048619828,7,3,35.510922744744576,1,4,1
39,0,98812.88190762707,3,2,46.30470545438897,1,5,1
20,0,76422.72645213865,13,4,41.938715583975345,1,1,0
69,1,41411.82594619847,16,3,37.80087983916815,1,5,1
57,0,86801.08034687981,7,0,24.02698661112505,0,5,0
52,1,34798.99115195818,5,1,6.524340706684125,1,1,0
31,0,122381.3811616413,1,2,42.81915662946309,0,4,1
56,1,48679.553852457466,17,1,10.110529694813566,0,3,0
45,0,103533.4759395749,5,3,27.53094165383948,0,4,0
53,0,99329.26943209337,3,2,54.79194305215633,1,0,0
38,1,30549.39320971109,0,0,54.249984775734234,0,2,1
21,1,82574.73971259207,9,0,24.667730200016056,0,0,0
37,0,122519.94540741283,5,3,21.341416247092575,0,5,0
66,0,41090.34275172232,3,1,16.37983430669502,0,5,0
54,0,97162.92159924218,11,2,32.24478816204781,1,1,1
36,0,123789.44426738583,2,1,54.07125314068228,0,5,1
21,0,73640.83931032108,3,3,31.359145630549605,0,3,1
47,1,58647.802739953375,6,0,47.64348560877816,0,5,0
24,0,94343.39525953426,2,3,40.19602262973525,1,2,1
32,0,134714.12789295404,7,1,16.707658588429805,0,2,0
22,0,147050.02803889549,2,0,29.455188115776398,0,2,0
50,0,81923.64532914283,5,0,33.09776795237996,0,4,0
27,0,120479.79264389497,19,2,15.743368779423108,0,1,0
43,1,147283.6419419701,12,0,48.014832646295275,0,3,1
22,0,87622.08600039766,2,1,24.942913439816024,0,2,0
48,0,35383.70482004035,10,1,53.03655775329584,0,3,0
66,1,141127.98352626612,0,1,1.1288644285776774,0,3,0
41,1,108740.23875904232,8,1,37.69854213972985,0,0,0
58,1,122052.1506988174,17,4,21.254757182548715,0,2,0
39,1,106829.59984447152,9,0,44.36654279720083,0,1,1
68,0,63219.300429332565,20,2,55.69324544598309,1,4,1
63,0,73773.54773942259,7,3,4.540483362751696,1,3,1
27,0,56955.632080577176,3,1,50.36705148248336,0,0,0
66,0,60536.09730108375,16,2,55.95726056320416,1,0,1
42,0,42778.830373757555,17,3,59.98534224231362,0,3,0
44,1,126873.41087802932,7,4,23.24345500556593,0,4,0
70,0,115856.42006041395,9,2,19.042997165736175,0,3,0
39,1,84715.62604445772,9,0,56.511699782187826,0,4,1
49,0,118377.69573952255,19,4,7.829842728533153,1,5,1
38,1,101457.02644211733,14,4,57.65286627058666,0,3,1
61,0,109107.7048188472,13,2,4.43483321244504,1,4,1
23,0,97095.76344428194,13,4,24.56650446282041,1,3,1
43,0,63450.981430487904,13,3,3.029789298754036,0,1,0
36,0,44193.18432001605,17,3,11.49515946533548,0,0,0
69,1,125530.07245171788,14,1,25.985438545710632,1,4,1
29,0,145204.9645065926,4,4,47.2720066590963,0,4,1
54,1,142288.30186499428,15,3,9.585520722858071,1,5,1
66,1,124832.47024026913,11,3,39.3566801817336,0,3,1
42,0,109457.51179125048,1,2,5.176694724659292,0,4,0
50,0,37571.61759012696,13,2,28.35370238626354,0,2,0
21,0,76396.26454494885,18,2,52.572437963523996,1,5,1
35,0,20996.324244399293,0,2,15.222796405547461,0,4,0
19,1,28862.400220114163,19,3,49.6770838294252,0,4,1
45,1,135727.95034270268,14,2,40.91185646605225,1,0,1
40,1,116574.59417683206,10,2,5.501844796270693,0,4,1
18,1,61002.896447241656,0,2,46.83673114408749,0,1,0
27,0,106996.03418195019,1,4,58.884759846297065,0,5,1
23,1,23035.77252266417,17,0,53.429884716354515,0,2,0
64,1,62207.87049570779,2,0,41.9379265506682,0,0,0
42,0,76224.72418291715,9,4,24.479660436464673,0,4,0
38,1,30519.506796662783,4,4,59.89379455227144,0,3,0
45,1,129459.811875708,1,2,41.45345320664676,0,3,0
25,1,60735.22928606861,8,4,21.583354579712132,0,5,1
32,1,51451.11844101884,4,4,32.86467999340955,0,4,1
18,1,118931.03005440097,1,2,33.43139220573812,1,0,1
48,1,146863.58813830698,6,0,17.759444953385312,0,2,0
20,1,59303.32241569419,18,1,6.569451078327691,0,4,1
39,1,140524.38175159553,13,2,53.38243743297993,0,5,1
57,1,79069.05349279492,8,4,43.22162230133536,0,2,0
28,0,53070.90550944011,0,1,18.854767792796544,1,2,0
70,0,126922.47327246693,12,2,41.176244192811,1,4,1
43,0,89293.75274199819,10,4,57.24566595985667,1,4,1
70,0,123568.5816348784,5,3,31.13029608238376,1,0,0
18,1,24995.42536510225,15,3,30.336522506179747,1,2,1
59,1,86588.84970564768,6,1,3.8366591407005624,0,2,0
38,0,144269.4477641915,17,1,34.15493848960112,0,4,1
68,0,134789.1972278705,3,0,5.462191466238418,0,3,1
65,0,65922.68310526834,15,3,34.861819031255955,1,0,1
50,0,113878.62060926776,15,0,32.954218445110726,0,5,1
22,0,29992.069785901258,1,1,26.428284486774242,1,4,0
48,1,130295.29928176821,19,3,57.51681246722325,1,2,1
52,0,46909.03519699548,7,0,30.447410828348783,0,3,0
65,0,100913.77340357956,17,1,56.92394307794506,1,4,1
53,0,55985.86001286975,15,3,53.24800717155225,0,5,1
51,1,30094.413507308658,15,1,40.28560820676036,0,1,0
51,1,78415.46646515347,9,1,47.990654402730755,0,4,1
28,0,55151.12722998832,17,1,34.01739448303871,1,0,1
37,1,104411.90219499462,3,4,5.621296253803888,0,5,1
61,0,81997.0138408361,1,3,36.99255738200734,0,4,0
33,0,33082.87220805933,15,2,7.901999736730198,1,1,0
61,1,28540.33166406755,3,4,40.104358231876155,1,0,0
57,0,135943.3788253955,9,4,13.191947908610613,0,3,0
18,0,86356.22357055018,11,1,35.40099338090647,1,0,1
25,0,111342.39050111713,18,1,44.992071618709616,0,2,1
43,1,147555.02879133506,17,4,52.52534152220597,0,5,1
68,0,136365.30629184973,6,2,2.947704218119308,0,0,0
43,0,101042.77456072721,14,4,1.596751467989313,0,5,0
30,0,130105.95104691786,16,2,27.17509917911577,0,1,0
50,0,41425.926044826825,6,0,29.865092824238697,1,2,0
56,1,115264.20081961258,6,1,57.21722896106448,0,3,1
24,1,142778.31575025944,19,4,45.54856447415479,1,4,1
67,0,110024.06746699929,8,3,31.66141683787224,0,5,1
50,1,109555.08926651179,20,0,1.2184420031125942,1,3,1
30,1,64611.75591244557,12,1,40.71356953934719,0,2,1
56,1,87768.48619503806,4,1,22.018743781623026,0,3,0
60,0,84072.39597816806,4,4,23.197533323310275,0,2,0
57,1,57765.58573728465,9,3,30.354229645619714,1,3,1
30,0,55902.04251671693,19,1,25.268487129542972,0,4,1
35,1,126987.89465542977,6,4,44.661050209334554,0,3,0
29,1,67976.89282891915,16,4,57.398287170902755,0,3,1
37,1,125816.13503578244,14,4,27.322806130973003,0,4,1
22,0,115866.38993379312,16,4,37.65236529832987,1,2,1
27,0,90753.0155947807,20,2,51.66636951094185,0,5,0
43,0,144286.12866955128,5,4,38.391491144229846,0,4,0
29,0,127092.74994876831,7,4,55.96789573578212,0,3,1
49,0,97118.80411395995,0,4,52.05237899286045,0,1,0
34,1,58300.52152500511,17,3,9.100899133354659,1,1,1
29,1,116187.53569970095,2,1,56.77311537484657,1,3,1
40,0,87520.16173551185,15,0,50.80696785362082,1,1,1
25,0,40658.061797015966,18,3,4.287951156358083,0,4,0
51,1,61286.28338394516,4,0,15.05435669306135,0,0,0
32,0,113515.97090799062,5,0,55.13514878118434,1,2,1
48,0,38537.23873064814,3,4,4.6842122234615235,0,0,0
36,1,117347.42380522985,16,2,12.308607810986185,0,3,1
65,1,55499.20529646561,20,4,12.778099651935134,0,5,0
38,0,66615.19999823351,14,1,27.072562853756626,0,2,0
42,1,27417.11374966306,19,1,52.26858719623288,0,0,0
58,0,85760.85008373777,18,3,27.507198270442338,1,1,0
53,0,29230.996389323212,19,1,30.10356881297504,0,0,0
50,0,41425.926044826825,6,0,29.865092824238697,1,2,0
50,0,90082.29185568113,11,1,46.92201451498596,0,3,1
56,1,48679.553852457466,17,1,10.110529694813566,0,3,0
29,1,38095.571174940414,14,3,49.689671332478675,1,4,1
23,0,126812.79670236132,15,1,17.17567822266571,0,1,0
30,0,35795.178919119346,18,0,4.226897299999791,0,1,0
40,1,36414.41640338536,8,1,48.522510699394616,0,5,0
66,0,143685.8753470382,14,3,52.594031093734905,0,2,0
33,0,79564.29527592604,3,0,26.970639393134395,0,5,0
42,0,46061.68701869236,5,0,9.289930883407003,1,0,0
20,0,44443.215500004095,9,2,11.46373033792483,1,0,0
25,0,40658.061797015966,18,3,4.287951156358083,0,4,0
67,0,80311.07898560326,18,1,32.979597110316405,0,5,1
54,0,120704.95905355364,15,4,30.110995324390316,1,1,1
46,0,38573.87497412352,9,3,58.25587438416175,0,4,0
42,1,35626.93978567491,19,2,54.63469003090716,1,0,0
30,1,131433.30340983788,1,4,8.40934405989948,0,0,0
50,0,74383.40233329641,13,1,52.09536825015686,0,2,0
21,0,85774.52800554111,9,2,44.50500534980961,0,1,1
67,0,73836.86782876051,0,3,35.36949286900342,0,1,0
38,0,132143.26124939328,14,0,42.5463578154867,0,4,1
64,1,74941.7956117692,2,3,49.6318111694496,1,2,0
48,1,66830.40944405562,0,0,17.919245775915137,0,3,0
58,1,133454.93256299823,5,3,58.95310759526028,0,3,0
46,0,50866.35088872482,19,0,59.7415245177397,1,0,1
68,0,104526.14201175993,8,0,42.272521199315904,0,0,0
66,1,117249.51332583917,3,4,7.326121258300759,0,2,0
56,1,106914.44407397883,13,1,58.352680792998875,1,0,1
65,1,131818.16013542656,0,2,14.021245412334773,1,1,0
24,0,35990.42836608693,11,1,3.1960805695904204,0,2,0
20,0,53787.64730156827,12,1,36.51689982549269,0,3,1
45,1,145322.2629253013,16,3,34.37060813713456,0,0,0
40,0,71551.97865869521,10,3,32.60394364195861,0,3,1
49,0,87170.79007941482,3,4,11.359206880442361,0,0,0
61,1,33701.11835401468,6,0,27.852329630933397,0,2,0
36,0,42558.186948246126,9,1,14.157579588490247,0,2,0
56,1,59513.0321612941,15,2,11.061744884995328,1,3,1
64,1,145821.80452985398,1,0,16.27873469647354,0,1,0
25,0,79992.07040121543,20,3,18.696370898085753,0,1,0
29,0,92161.04340929721,12,4,3.725592508896101,0,5,1
26,1,57555.04205819154,7,4,44.99829028720018,0,2,1
66,1,69452.07136615325,12,0,40.177948953567736,0,1,0
46,0,20001.5125181976,4,2,8.372437398957064,1,4,0
56,1,29250.577072546264,18,4,3.9420100131565525,0,2,0
44,1,23308.208787747615,1,0,7.047283422163556,1,1,0
35,1,134345.6411436988,6,0,3.189685877775834,1,4,1
28,1,119388.6133051133,4,1,39.275373193668315,1,5,1
36,0,51446.19767364907,6,3,3.0443918790270077,1,2,1
26,1,26806.15262437141,17,4,20.847229680771655,1,2,0
31,1,79500.94867070823,16,1,43.15917841949622,0,2,1
41,0,40809.312544094486,20,1,47.69041222825027,0,1,0
21,0,87334.86860263527,4,4,33.49073899676816,1,4,1
56,0,21317.05392360664,7,1,24.050918688955978,0,4,0
39,1,91438.8396663522,3,2,56.86593158412039,0,1,0
66,1,111592.07564356789,2,2,27.29581562455804,0,5,0
62,0,139460.4493731421,10,2,21.16318169722971,0,0,0
41,1,119377.29464981557,18,4,33.798809007384904,0,3,1
32,0,79756.43315234597,6,3,23.89544998139646,1,3,1
62,0,139162.58065935696,14,3,40.20100340896799,1,4,1
46,1,22494.995986997368,14,3,56.91996789485297,1,1,0
48,1,122216.1659199243,19,0,8.17471030153537,0,2,0
59,0,130046.86402973614,10,4,26.06221714992699,0,3,0
45,1,65808.74305925507,14,1,22.164894153219826,0,5,0
53,1,95890.46146683452,2,3,31.538368438174654,1,0,0
43,0,145903.5410872699,1,2,5.191207862797133,0,4,0
41,1,66214.09135737646,20,4,4.206537802570766,0,0,0
38,1,39662.08773554149,16,1,58.39780536094132,1,1,1
54,1,21152.227064750958,7,3,44.37982176210082,0,1,0
49,1,21213.11057752213,11,0,18.67382285727894,0,3,0
34,1,121447.51539089462,17,2,58.37882724238606,0,5,1
64,1,21177.041005448227,3,3,27.881911305956812,0,3,0
60,0,137318.92994715943,11,2,10.982980048957856,0,5,0
35,0,39506.32641021795,18,1,17.7440786394514,1,4,1
63,0,116261.89715395748,12,4,44.07768107880907,0,4,1
41,1,52288.91384807402,5,1,6.9752913060293755,0,4,1
37,0,133095.99075419904,14,4,16.15794279684531,0,2,0
53,0,134440.9190793605,4,2,11.344720241234736,0,4,0
37,1,38292.498646338594,9,4,49.334818514042794,0,0,0
54,1,81098.47486053176,6,0,16.521721765527253,0,3,0
66,0,84161.05544421542,12,1,53.746424677091554,0,0,0
37,0,70632.64633731465,20,0,27.09779202496271,1,4,1
59,0,130046.86402973614,10,4,26.06221714992699,0,3,0
49,0,55204.82264480644,11,0,15.674798233646854,1,2,0
43,1,144512.67412846652,18,0,46.98949799618718,1,1,1
61,1,124930.21985743473,13,4,24.029220976431723,0,5,0
58,0,104626.55072962404,1,1,59.88066987793736,0,3,0
37,0,65154.632413649546,10,4,28.063601824384758,0,1,0
51,1,96466.29470329077,3,4,39.81901966111593,1,3,1
45,1,79846.57525625042,3,1,17.280980861274067,0,1,0
42,0,91351.62646005627,6,1,29.413759272942393,0,3,0
21,0,46342.242437594614,0,0,35.046778668316456,0,2,0
19,1,105381.41361415823,14,3,34.479149273370545,0,5,1
41,0,45868.97806472678,6,3,48.91859565027234,0,5,0
56,0,99951.68584505266,13,2,33.19445123314945,1,4,1
25,1,28581.279738231406,12,2,52.575966367442035,1,1,1
39,1,32791.43446274165,18,2,1.137080961783886,0,1,0
59,0,65232.38350568166,11,1,35.29794016377815,0,0,0
28,1,35405.3410677597,11,0,53.44245080521175,0,5,1
46,0,32041.312796677736,16,1,51.422522521520186,0,2,0
61,1,64964.069895921464,15,4,27.222016502618423,0,4,0
69,1,127377.16765205063,12,1,27.625825453480758,0,4,0
60,0,28128.418446569947,18,0,10.839091863488829,0,2,1
66,1,23405.572109168425,2,1,38.295087193023434,1,4,0
55,1,102467.27955331933,4,3,26.881398549862954,1,4,0
50,0,32201.447027036305,16,2,32.43798080471233,1,3,1
21,1,115369.86947298226,10,2,45.434011983600776,1,0,1
19,1,120009.63617337418,9,0,43.91969108588111,0,5,1
43,0,57392.254775678164,10,4,41.15344364028219,0,0,0
49,0,53708.57865255059,20,2,52.80072456747989,0,1,0
39,1,32791.43446274165,18,2,1.137080961783886,0,1,0
44,0,86086.8710991164,16,4,28.9704995823636,0,3,0
58,1,95025.9361849817,18,0,10.14551137758852,0,0,0
61,0,134267.25703669473,16,1,7.962355570543117,0,1,0
40,1,144549.55241551943,18,0,38.180330008335446,1,4,1
45,1,79846.57525625042,3,1,17.280980861274067,0,1,0
25,1,111148.14727427157,17,4,51.140713671224425,1,1,1
52,0,107622.58947764305,19,2,48.29082818242545,0,1,0
47,1,146984.04270638572,5,2,15.016040859498423,0,5,0
22,1,51251.8586761559,4,1,46.09084428609433,0,0,0
52,1,93329.6237483573,1,3,53.42346402294461,0,2,0
29,0,62263.52200612087,19,4,4.270546347532796,0,2,0
55,1,58921.42648831856,18,2,13.107985150350236,1,0,0
68,1,98250.04603196711,10,4,40.686016268080614,0,5,1
37,0,44092.92333873288,14,2,43.924649206578415,0,3,1
25,0,114048.21632050013,8,0,24.864972802662656,0,3,1
68,1,121482.12326532243,13,0,4.535584163943805,0,0,0
31,1,58407.82107206463,8,4,52.846044896938864,0,3,1
28,0,91035.94109012015,18,3,20.38765602931072,0,4,1
43,0,113869.22196635582,12,0,16.379037635143256,0,2,0
64,1,31880.893223130934,17,0,22.753472516233717,1,1,0
27,1,78533.05199857574,17,4,40.66467649827597,0,1,1
68,1,104789.15374091142,11,4,44.06548763786345,0,0,0
50,0,92821.86385003946,20,0,51.33456214270396,0,4,1
24,0,113122.04044814869,16,4,58.58907542777473,0,1,1
23,1,38304.383356047896,17,4,55.85771163519968,0,5,1
19,1,68792.88802954825,14,0,4.168127637359103,0,3,1
51,1,34635.45075355181,19,3,8.297760186211882,1,5,0
70,1,44197.666707935234,4,4,16.593685413651542,1,4,0
33,1,58989.48449590801,16,0,43.98958431669705,1,5,1
25,1,94019.05695369677,0,2,9.779714156572386,1,1,0
28,1,90853.49945660199,8,3,14.193144567767222,1,0,1
60,0,139729.28774255485,11,3,31.352693629690826,0,4,1
59,1,126929.52326994558,19,4,43.92621909049984,1,2,1
68,0,136365.30629184973,6,2,2.947704218119308,0,0,0
22,0,37476.56682305584,2,1,13.2883828340592,0,3,0
31,1,139371.08126780682,6,0,38.71843288726199,1,3,1
45,0,67397.1846656802,5,1,18.333873768605322,0,3,0
39,1,75573.65942967997,12,4,49.08590368389274,1,3,1
45,0,147447.93632248405,14,0,23.55200188085499,0,4,1
46,1,133256.58269419678,7,2,41.685400866460554,0,2,0
57,0,68324.12863230462,15,2,51.60808460137574,0,2,0
26,1,29370.96367982754,10,3,14.11468323167653,0,2,0
44,0,86086.8710991164,16,4,28.9704995823636,0,3,0
54,0,90782.70326403418,19,4,5.19553178459277,0,4,0
35,0,55353.46439672203,4,0,5.8191061271148845,0,5,0
33,0,21964.388947881755,9,1,38.83467684615532,1,2,0
28,0,37455.73061729582,1,1,26.306218610128905,0,0,0
