Gender,10th %,SSC Board,12th %,HSC Board,12th Stream,Degree %,Degree stream,Work exp,specialisation,Mba %,status,salary,cgpa,iq,placement
M,75.0,Others,70.29,Others,Commerce,71.0,Comm&Mgmt,No,Mkt&Fin,66.94,Placed,240000.0,7.3,116.0,1
M,84.86,Others,67.0,Others,Science,78.0,Comm&Mgmt,No,Mkt&Fin,68.53,Placed,240000.0,4.9,61.0,0
M,64.6,Central,83.83,Others,Commerce,71.72,Comm&Mgmt,No,Mkt&Fin,59.75,Placed,218000.0,6.7,154.0,1
M,56.6,Central,64.8,Central,Commerce,70.2,Comm&Mgmt,No,Mkt&Fin,67.2,Placed,336000.0,4.8,169.0,0
F,59.0,Central,62.0,Others,Commerce,77.5,Comm&Mgmt,No,Mkt&HR,67.0,Not Placed,,4.9,155.0,0
F,66.5,Others,70.4,Central,Arts,71.93,Comm&Mgmt,No,Mkt&Fin,64.27,Placed,230000.0,7.3,50.0,1
M,64.0,Others,80.0,Others,Science,65.0,Sci&Tech,Yes,Mkt&Fin,57.65,Placed,500000.0,6.1,81.0,0
M,84.0,Others,90.9,Others,Science,64.5,Sci&Tech,No,Mkt&Fin,59.42,Placed,270000.0,6.5,90.0,1
F,69.0,Central,62.0,Central,Science,66.0,Sci&Tech,No,Mkt&HR,67.99,Not Placed,,4.9,196.0,0
F,69.0,Others,62.0,Others,Commerce,69.0,Comm&Mgmt,Yes,Mkt&HR,62.35,Placed,240000.0,5.4,107.0,0
M,81.7,Others,63.0,Others,Science,67.0,Comm&Mgmt,Yes,Mkt&Fin,70.2,Placed,300000.0,6.5,37.0,1
M,63.0,Central,67.0,Central,Commerce,74.0,Comm&Mgmt,No,Mkt&Fin,60.44,Not Placed,,7.5,130.0,1
M,84.0,Others,79.0,Others,Science,68.0,Sci&Tech,Yes,Mkt&Fin,66.69,Placed,300000.0,5.7,169.0,0
M,70.0,Central,63.0,Others,Science,70.0,Sci&Tech,Yes,Mkt&Fin,62.0,Placed,300000.0,5.8,166.0,1
F,83.84,Others,89.83,Others,Commerce,77.2,Comm&Mgmt,Yes,Mkt&Fin,76.18,Placed,400000.0,5.1,128.0,0
M,62.0,Others,63.0,Others,Commerce,64.0,Comm&Mgmt,No,Mkt&Fin,57.03,Placed,220000.0,5.7,132.0,1
M,59.6,Central,51.0,Central,Science,60.0,Others,No,Mkt&HR,59.08,Not Placed,,4.4,149.0,0
F,66.0,Central,62.0,Central,Commerce,73.0,Comm&Mgmt,No,Mkt&HR,64.36,Placed,210000.0,4.9,151.0,0
F,84.0,Others,75.0,Others,Science,69.0,Sci&Tech,Yes,Mkt&HR,62.36,Placed,210000.0,7.3,86.0,1
F,85.0,Others,90.0,Others,Commerce,82.0,Comm&Mgmt,No,Mkt&Fin,68.03,Placed,300000.0,7.5,158.0,1
M,52.0,Central,57.0,Central,Commerce,50.8,Comm&Mgmt,No,Mkt&HR,62.79,Not Placed,,5.2,110.0,0
F,60.23,Central,69.0,Central,Science,66.0,Comm&Mgmt,No,Mkt&Fin,59.47,Placed,230000.0,6.8,112.0,1
M,52.0,Central,62.0,Central,Commerce,54.0,Comm&Mgmt,No,Mkt&HR,55.41,Not Placed,,4.7,52.0,0
M,58.0,Central,62.0,Central,Commerce,64.0,Comm&Mgmt,No,Mkt&Fin,54.97,Placed,260000.0,4.3,200.0,0
M,73.0,Central,78.0,Others,Commerce,65.0,Comm&Mgmt,Yes,Mkt&Fin,62.16,Placed,420000.0,4.4,42.0,0
F,76.0,Central,70.0,Central,Science,76.0,Comm&Mgmt,Yes,Mkt&Fin,64.44,Placed,300000.0,6.7,182.0,1
F,70.5,Central,62.5,Others,Commerce,61.0,Comm&Mgmt,No,Mkt&Fin,69.03,Not Placed,,6.3,103.0,1
F,69.0,Central,73.0,Central,Commerce,65.0,Comm&Mgmt,No,Mkt&Fin,57.31,Placed,220000.0,6.2,113.0,1
