UserID,DeviceType,UsageHoursPerDay,EnergyConsumption,UserPreferences,MalfunctionIncidents,DeviceAgeMonths,SmartHomeEfficiency
49,Thermostat,14.719603685702651,2.054296963932371,1,3,55,1
50,Smart Speaker,5.681459526246607,5.797650147964627,0,0,21,0
51,Smart Speaker,15.202793551540998,9.260119952403947,1,3,57,0
52,Smart Speaker,13.932779762849181,1.5542760318900146,1,1,33,1
53,Smart Speaker,4.843702351755086,9.711456558890232,0,1,20,0
54,Camera,1.9002967877988772,9.480024620516684,1,2,5,0
55,Security System,14.70244401329712,8.8572626718768,1,2,24,1
56,Lights,18.44676832973253,2.2241095611670225,0,4,35,0
57,Smart Speaker,12.799932216667193,6.377145054508735,1,3,30,1
58,Thermostat,5.829156695011674,7.632825582316277,0,2,28,0
59,Smart Speaker,16.163266452286322,9.861676489144655,0,2,53,0
60,Thermostat,2.3824845753256527,1.8861958386055673,1,3,51,0
61,Thermostat,10.883092062845932,7.6836564052410345,0,1,45,0
62,Smart Speaker,4.339118822362874,3.4541315822784187,1,4,7,1
63,Camera,4.834787699907259,1.8387020091232231,0,4,42,0
64,Thermostat,5.253907805217786,4.271631718017164,1,4,35,1
65,Thermostat,9.58761584053348,7.958975530271302,1,2,55,0
66,Smart Speaker,1.702029832079344,4.702013056670116,0,1,30,0
67,Thermostat,9.848145861833807,5.42147869201018,0,4,34,0
68,Thermostat,12.52512500719547,9.9520781609812,1,3,39,0
69,Smart Speaker,11.857415696708642,4.051182065618518,1,4,9,1
70,Smart Speaker,9.495426359471454,6.192467471621474,0,0,53,0
71,Lights,20.219945289662682,3.7159175959921815,1,1,12,1
72,Camera,3.9151772718818467,3.9885778986541793,1,0,54,1
73,Camera,12.383873478862288,6.98684345910954,0,1,29,0
74,Thermostat,1.957973298479026,9.385081063339346,0,3,10,0
75,Camera,2.172158453630879,5.4693536098739814,1,2,27,0
76,Thermostat,13.985847467411762,7.707159296592921,0,2,19,0
77,Lights,13.801432984863792,0.9831449322879419,0,1,13,0
78,Smart Speaker,21.13378755184474,2.190464570576077,1,4,42,1
79,Smart Speaker,13.610031378011719,5.071103245103371,0,0,37,0
80,Smart Speaker,23.05508897951398,0.29811606392487044,0,3,32,0
81,Camera,1.6443289373983496,2.6032642897493323,1,4,15,1
82,Lights,2.803180592347415,5.222272769267165,0,2,21,0
83,Camera,1.5355477469039627,0.24811586273737707,1,4,3,1
84,Camera,4.85400598283819,2.719008233637813,0,0,8,0
85,Lights,13.219847607129434,5.188905112811108,0,2,6,0
86,Lights,15.670946263544558,5.774177555014332,1,1,29,1
87,Lights,1.5712512117937167,9.264941761247524,0,3,19,0
88,Lights,22.730315911371584,6.488921670181018,0,3,17,0
89,Smart Speaker,20.290886351283955,4.205884445046938,0,2,10,0
90,Security System,7.470393330691689,9.310476653617371,0,1,33,0
91,Security System,2.3139069603219973,7.870341535539163,0,0,13,0
92,Lights,4.492346220647846,2.0800883190162014,0,3,27,0
93,Security System,3.483193723241858,1.3953393773533158,1,2,42,0
94,Security System,3.397168813525251,6.7905351938530565,0,3,12,0
95,Lights,12.686199683644748,5.642843339212139,0,1,2,0
96,Security System,6.277414898594907,7.917768776548281,1,0,10,1
97,Camera,8.916283338434894,7.4141699957789955,1,1,21,1
98,Thermostat,23.753375334531576,6.289594185189399,1,4,23,1
99,Thermostat,16.581384849745604,9.865183499126033,0,1,1,0
100,Lights,22.80104567560453,5.382538328093045,1,1,33,1
101,Smart Speaker,3.8500790432782166,1.2197469893670265,1,3,52,0
102,Lights,9.480277658565377,8.299908291678285,0,1,26,0
103,Smart Speaker,13.536197377135325,2.5933482872225193,1,2,15,1
104,Thermostat,2.3038144543853436,7.795291266624791,0,3,22,0
105,Lights,0.5984049252570098,9.575360250400509,0,3,25,0
106,Camera,16.255206844227562,6.998275588246979,0,4,1,0
107,Security System,15.582758644833731,6.000698593403031,0,2,59,0
108,Smart Speaker,10.153537034990876,4.657823139182901,0,1,26,0
109,Security System,12.006635786752767,3.7076576733544924,1,4,21,1
110,Security System,10.262910513914106,3.594747034621179,0,2,41,0
111,Lights,1.064118553854888,6.400089786524947,1,4,24,0
112,Security System,8.381232746110367,7.537603857683684,0,0,39,0
113,Camera,4.661433001836311,6.817318987895702,1,1,16,0
114,Security System,2.8129684438821654,2.064260001816271,0,4,32,0
115,Lights,22.98293019639972,4.990473083420563,0,0,16,1
116,Camera,14.584953538490891,7.9372367146123235,0,1,13,0
117,Thermostat,17.623422679560164,4.8094703740716565,1,4,42,1
118,Security System,7.911047966753761,5.4125704693813885,1,4,32,0
119,Lights,9.738957543109358,7.734246876891139,1,4,50,0
120,Thermostat,6.067713856573001,6.646526532024406,0,4,41,0
121,Thermostat,2.7786932676874816,4.152514716735687,0,3,44,0
122,Smart Speaker,4.707243479877219,8.964585840822767,1,4,24,0
123,Camera,19.241580064467417,1.7094139797684382,0,3,13,0
124,Security System,16.42232642181873,9.955612841044214,1,3,11,1
125,Lights,13.352828585658708,1.2766405269147485,0,0,15,1
126,Smart Speaker,11.66461201236905,0.24800471393196513,1,1,10,1
127,Camera,22.177205665918926,8.91118712137277,1,3,42,0
128,Smart Speaker,2.2092712727987074,2.5250397328229655,0,2,41,0
129,Camera,7.094119111091025,7.324026311722537,1,3,57,0
130,Camera,8.72353955891178,8.129052211827487,0,2,57,0
131,Security System,18.887006587000513,8.603965271217957,0,0,3,0
132,Camera,23.824093573806326,9.91678293307525,0,2,55,0
133,Smart Speaker,6.1557570967930975,3.010993129395991,1,0,16,1
134,Camera,21.046222352221395,7.1314090850798655,1,0,44,1
135,Security System,20.019634870147094,1.2424585969801996,1,0,17,1
136,Security System,5.779448844581515,4.1274119844328085,0,2,25,0
137,Smart Speaker,9.88431563468173,8.494919763794645,0,2,30,0
138,Thermostat,10.1273124283742,3.739814655985173,1,0,47,1
139,Thermostat,23.488185710374122,5.951844267302579,0,0,57,0
140,Camera,4.750959682404111,5.087357092873877,0,1,35,0
141,Lights,19.280212320962377,6.494920158009246,1,0,37,1
142,Camera,8.353528783068082,9.73165445493818,1,4,13,1
143,Smart Speaker,17.675453125739768,0.651781712363881,0,1,24,0
144,Smart Speaker,10.370258600948077,5.782219023266134,0,1,38,0
145,Smart Speaker,14.09145443323869,8.64398491457782,1,1,26,1
146,Smart Speaker,20.066376673164083,4.865688846309432,1,4,58,1
147,Smart Speaker,19.397890777121276,0.8774191408215709,0,1,9,0
148,Security System,20.860944813182954,5.649339588926032,0,1,19,0
149,Thermostat,1.901007145599487,3.3875315191558224,0,2,28,0
150,Smart Speaker,16.763187996434002,1.6339236748455654,1,2,7,1
151,Lights,3.7897033529614275,8.505441681506383,0,0,45,0
152,Lights,10.271736348432658,5.263835178612104,0,0,22,0
153,Lights,13.39182775378518,9.33943648255276,0,3,30,0
154,Lights,9.964377891550523,8.079563395570384,0,4,37,0
155,Security System,12.710874381370676,6.960420758359307,0,2,16,0
156,Lights,23.91836825676755,0.14975248331658816,0,0,36,0
157,Smart Speaker,3.677606872252086,4.3354522207186745,1,4,5,1
158,Camera,16.373217065406003,2.05511418835512,1,1,29,1
159,Lights,9.806022710061958,9.11689931938379,1,4,52,0
160,Security System,3.625730274322226,1.8283814482959668,0,2,51,0
161,Security System,4.230313939296273,2.9319945114269266,1,3,23,1
162,Lights,22.807917996771998,5.216684000571542,0,2,6,0
163,Camera,21.170635172726406,2.7072998280809846,0,0,36,0
164,Lights,21.815486069753014,2.1776603050633,0,0,57,0
165,Security System,23.801020231943582,6.031083318517249,0,4,33,0
166,Thermostat,5.395411665200172,0.9804022752747362,0,2,49,0
167,Smart Speaker,8.85282442805545,0.6758608113371547,1,0,41,1
168,Security System,16.226647203234368,3.785228422342107,1,1,16,1
169,Lights,11.869359686725211,7.234578099627837,1,1,55,0
170,Smart Speaker,10.332154034390838,5.592586906912085,0,3,34,0
171,Lights,8.908564359386437,4.28647703782111,1,4,43,1
172,Lights,14.453844850671127,5.700940485823366,0,0,26,0
173,Thermostat,14.026445573041928,3.717969698067409,1,3,37,1
174,Smart Speaker,4.294259100509642,9.367848720777918,1,1,13,0
175,Smart Speaker,11.585886181683318,0.6435584200166659,1,3,52,1
176,Thermostat,13.506586740931473,6.7665756423953685,1,3,17,1
177,Security System,13.901743060187677,8.92369838179473,1,0,32,1
178,Lights,5.437519033440267,8.05845861647901,1,0,32,1
179,Camera,17.94337771792874,1.9220062447323227,0,0,28,1
180,Lights,1.0921787282951363,3.0296708549048548,0,4,29,0
181,Lights,8.838548605264322,7.198774593200336,0,3,25,0
182,Security System,18.834997240587388,0.9342785358895788,0,3,47,0
183,Lights,13.751483644801954,8.137430828342582,0,4,22,0
184,Thermostat,6.637317164005216,7.217178751587424,1,1,27,0
185,Thermostat,16.83139830456162,7.323105827429892,0,2,44,0
186,Smart Speaker,13.833687187667724,1.092389565649155,0,1,38,0
187,Camera,19.211724822225097,7.205829393680685,0,4,20,0
188,Lights,17.77309187546085,6.830199439677703,0,3,45,0
189,Lights,14.837536167851514,8.32613265913632,0,3,50,0
190,Security System,11.972175369804129,0.5117999669390481,0,0,24,1
191,Thermostat,3.6297799531868002,0.32879561783114275,0,0,47,0
192,Camera,6.641325920306518,3.7927702887977515,0,3,47,0
193,Smart Speaker,10.348837613551504,1.5730040101066136,0,3,8,0
194,Thermostat,14.583533244650134,5.628006327945196,1,0,51,1
195,Smart Speaker,12.572134597559664,9.181754124916814,0,0,55,0
196,Security System,7.272336360048943,3.975649330306756,0,1,14,0
197,Security System,0.651912408058198,8.465008734998781,1,3,39,0
198,Lights,12.161621714669128,0.1023846577268781,1,3,14,1
199,Camera,7.212210731212712,1.7682949702459239,0,4,5,0
200,Smart Speaker,17.763295066697573,0.40119304257544763,0,1,47,0
201,Thermostat,1.062737233856362,3.3486570870991796,0,2,21,0
202,Security System,14.243453565686085,9.091076997395378,1,2,15,1
203,Lights,22.624644581392538,1.0598260236299788,0,2,56,0
204,Lights,4.598617777120238,6.103456789763624,1,0,36,0
205,Smart Speaker,11.583763032638991,4.569809797282497,1,2,33,1
206,Security System,2.648416807702747,9.390835302421543,1,4,17,0
207,Camera,15.203524938141786,1.312939511117229,1,0,57,1
208,Security System,13.437494494011302,2.1990757199720665,1,0,20,1
209,Smart Speaker,10.07308981900156,0.39246548925378344,0,2,1,0
210,Smart Speaker,12.75236000463292,4.3959589713506,0,0,16,1
211,Security System,21.56950447402174,2.850545705690078,1,1,45,1
212,Smart Speaker,5.1129161043100755,8.712068745514177,1,1,18,0
213,Security System,1.03026602507566,6.088914050657775,1,2,10,0
214,Thermostat,20.749124790428873,6.179498305959447,1,4,23,1
215,Security System,14.062251436115803,5.365915899124894,0,0,18,0
216,Security System,21.430473703353297,1.0093183385690898,1,3,49,1
217,Smart Speaker,14.528212750209555,4.505684968881017,1,2,58,1
218,Smart Speaker,19.53878561405301,9.995101378114313,0,0,9,0
219,Lights,10.597324038845976,8.368769979375546,0,2,46,0
220,Lights,18.121708385274317,8.945244636254447,0,2,53,0
221,Thermostat,21.956474471911616,8.249940956540344,0,4,30,0
222,Lights,13.944889647471847,1.1201127649667286,1,3,13,1
223,Security System,4.7484510382159195,2.3517377152415166,1,0,52,1
224,Smart Speaker,6.816743953209657,0.13090434842845533,1,2,52,0
225,Lights,5.168147557089036,3.1047502362933037,1,2,31,1
226,Lights,6.301140148499724,1.1752132832302766,1,0,46,1
227,Thermostat,7.700763059749355,4.780654118485671,1,2,43,0
228,Thermostat,13.54564398869993,6.803562136881629,1,2,13,1
229,Security System,14.31780329240007,8.757602420876962,1,2,32,1
230,Smart Speaker,10.522744060183737,7.517249934399892,1,1,17,1
231,Thermostat,14.962388325789632,9.391997398207202,0,1,3,0
232,Lights,2.417010751867099,0.633593074898509,1,3,1,1
233,Smart Speaker,2.5630235708667595,0.22058037062376026,0,4,53,0
234,Smart Speaker,4.5379923184049735,6.647247326978505,0,0,5,0
235,Lights,12.674821203948103,2.964588861200238,0,4,32,0
236,Thermostat,5.528874949410369,2.609660059447154,0,4,25,0
237,Lights,7.157183482075567,3.3757821681685636,1,1,45,0
238,Smart Speaker,9.90735165006536,2.7709809731344053,0,3,56,0
239,Camera,19.578853914243926,5.163220422385714,0,4,5,0
240,Camera,0.8257601939522128,4.457469627518911,1,4,37,0
241,Security System,15.760402275560626,5.173042658628898,0,2,23,0
242,Lights,16.218598479456105,6.759864753854318,1,0,12,1
243,Lights,19.26841083838096,3.9325920388143687,1,3,34,1
244,Security System,22.41969406791736,2.5879461027073525,1,0,23,1
245,Security System,0.9732394503083109,1.7453853144065803,1,1,16,1
246,Security System,4.11391707956058,3.559793783372993,0,4,49,0
247,Smart Speaker,21.325025410315835,7.443884104937103,1,4,5,1
248,Lights,11.27518621139486,7.591378610103549,0,0,44,0
249,Smart Speaker,13.767880014936392,6.702363328173682,0,1,47,0
250,Security System,16.08113928749396,2.4168789355380587,1,2,28,1
251,Lights,16.45806520564748,5.922053833961507,0,2,6,0
252,Smart Speaker,22.39589947793794,5.749827649610795,1,4,13,1
253,Smart Speaker,23.928311309174237,4.894235361286282,0,4,43,0
254,Security System,17.423700331877097,5.544791965200256,0,3,30,0
255,Lights,7.249698416321044,4.968727262974314,0,0,26,0
256,Security System,21.174181453917075,5.698018024133671,0,4,17,0
257,Lights,1.6566914917078979,7.183508950749174,1,1,9,0
258,Camera,5.9304000425506604,1.1853191245940535,1,0,57,1
259,Thermostat,21.5885643603973,7.521294946275335,0,3,16,0
260,Thermostat,6.520500589324842,1.4452728862631827,0,2,49,0
261,Thermostat,5.685299901111089,0.7596171842627095,0,3,52,0
262,Security System,3.7459443887958104,9.76318889359253,0,0,56,0
263,Camera,20.689126304702537,9.57421851181737,1,2,18,1
264,Lights,12.251369090990538,0.6983217949115841,0,1,13,0
265,Smart Speaker,16.359990271772638,4.488209070602125,0,2,29,0
266,Lights,6.118060025763198,1.94382488916777,0,2,43,0
267,Smart Speaker,18.31394989376359,4.904914481630739,1,1,45,1
268,Lights,18.360130306609314,8.318754705695914,0,4,24,0
269,Camera,7.846053585345053,9.511056569954613,1,4,58,0
270,Smart Speaker,10.151041875741647,6.37910126917022,1,2,45,0
271,Security System,5.42772151960972,3.603666105396989,0,2,44,0
272,Lights,23.449184048088252,6.072923099881524,0,3,46,0
273,Lights,15.671660560872674,3.1888129304736585,0,4,13,0
274,Smart Speaker,22.461781196814616,9.107254044237397,1,1,25,1
275,Security System,7.629560275284629,8.716964584747785,1,2,41,0
276,Security System,18.87443645542691,5.6264943277686434,0,2,46,0
277,Camera,18.497678131291437,3.3155092622655697,1,3,1,1
278,Security System,16.753907818863727,3.004557788271486,0,3,9,0
279,Security System,23.19251591876981,0.43083814758008865,0,3,4,0
280,Security System,9.748550398498415,8.176626425150422,0,0,28,0
281,Thermostat,3.5718571043592964,4.558793809086179,0,1,12,0
282,Camera,16.28515819223543,3.318815991162618,0,0,24,1
283,Lights,17.638780311214344,4.7639925144777635,0,2,46,0
284,Smart Speaker,14.013923476282145,8.205506105501055,1,3,9,1
285,Lights,5.360220488634813,1.3336806563044599,1,3,35,1
286,Camera,12.354714629229852,8.590794283594091,1,3,38,0
287,Smart Speaker,7.836458809374541,8.985337467572705,0,4,35,0
288,Camera,10.545463411917193,9.472408358835493,0,1,33,0
289,Security System,15.662636532349602,4.035131124984015,0,0,58,0
290,Smart Speaker,18.012546453234613,2.2496899999729516,1,1,54,1
291,Security System,5.957280236181563,3.7990441028203152,0,3,53,0
292,Lights,10.025145975203404,3.3958297526908927,1,2,35,1
293,Lights,6.825296918303286,1.8439237337783148,0,4,46,0
294,Smart Speaker,5.1678429257539245,6.11194003400473,1,1,20,0
295,Smart Speaker,18.909599669902203,4.818579189035426,0,2,2,0
296,Camera,21.867438319269322,8.670439824007635,0,3,44,0
297,Camera,9.200456363587552,0.4178848467723767,1,3,26,1
298,Security System,18.15505472278352,6.47429248279575,1,3,42,0
299,Smart Speaker,21.57938930006366,7.653193897264455,1,3,13,1
300,Lights,20.38391894746044,7.618917034964239,0,4,30,0
301,Camera,4.796114630671809,8.872132274245699,1,4,52,0
302,Camera,22.97285921556399,7.317434054011991,1,1,32,1
303,Lights,9.351896350092368,9.285319610312193,0,3,36,0
304,Camera,8.472155537585154,3.3933003382268256,0,4,19,0
305,Security System,1.967136191027838,5.081773225840276,1,2,22,0
306,Smart Speaker,11.92508087146475,0.2393886665006177,0,4,1,0
307,Lights,3.0618199675618247,0.168880114302583,1,4,57,0
308,Smart Speaker,6.3406857917945105,2.4772535424700473,1,1,11,1
309,Camera,7.948151611531112,1.0979912516769441,1,4,26,1
310,Camera,19.507418602054575,2.676092542563961,0,2,48,0
311,Lights,21.07398328430357,1.8527286158311345,1,3,19,1
312,Security System,7.607958460344538,0.3823482459026176,1,0,19,1
313,Thermostat,20.679405849247487,9.10211104941989,0,1,12,0
314,Lights,20.64492702819009,0.18140900075002608,1,2,3,1
315,Thermostat,18.469297334044526,7.387213228937146,1,1,55,0
316,Thermostat,3.947335179356766,1.6062640805032138,1,3,56,0
317,Security System,16.72258690216713,9.13107325779604,0,4,18,0
318,Thermostat,22.708065517643366,8.93867980193987,1,4,49,0
319,Thermostat,16.53970125102819,6.573621349055648,0,2,5,0
320,Security System,8.292995954034097,6.755118083025991,0,3,48,0
321,Thermostat,12.263613959624536,0.15285750549991658,1,0,24,1
322,Thermostat,15.67453851874976,9.85022850452466,1,0,14,1
323,Thermostat,12.498404605119834,8.790542775400562,0,4,51,0
324,Lights,3.3188941306777906,8.961551634727911,1,3,38,0
325,Lights,7.833505049322485,6.626520916803632,1,3,3,0
326,Lights,19.356306718010362,3.5133905936799117,0,2,6,0
327,Security System,20.74332408324466,8.94712162599576,1,0,12,1
328,Camera,3.7265507688159003,2.9860175886968046,1,2,52,0
329,Thermostat,22.881088681370027,5.670844279087808,0,1,11,0
330,Thermostat,8.22733151944232,1.0873366262044357,1,3,39,1
331,Security System,16.064372860171922,9.227360738314227,0,0,59,0
332,Thermostat,18.167890929982008,1.493627531935012,0,2,26,0
333,Lights,19.58073651399026,2.326478376731032,1,4,1,1
334,Camera,22.725118002309358,5.625528165469328,0,1,16,0
335,Smart Speaker,7.853609378677331,7.6645207021085175,1,2,48,0
336,Thermostat,20.67490168196153,6.23157792876936,1,4,49,0
337,Lights,3.5946422307508654,2.3981257367215463,0,0,47,0
338,Smart Speaker,17.06846129930943,0.10933612102215431,0,0,53,0
339,Camera,17.93647664357867,7.595790745043648,0,1,9,0
340,Smart Speaker,16.426496168231033,9.853552526519827,0,4,5,0
341,Lights,6.429396299176095,8.118139891030294,0,3,52,0
342,Smart Speaker,21.016513954857277,4.656045519750491,0,0,8,1
343,Security System,4.468173889204283,9.047295887851154,1,3,21,0
344,Smart Speaker,1.7604176007395247,4.157491963871665,1,3,33,1
345,Thermostat,17.360427279379934,5.296847434010329,0,2,39,0
346,Thermostat,11.673679307969241,4.823584697217264,1,2,43,1
347,Security System,20.453803469028887,4.531476339388697,0,0,20,1
348,Lights,9.509832814869085,7.7743886160096665,0,3,58,0
349,Thermostat,4.454546829931251,5.315012181967971,1,2,53,0
350,Camera,20.15639152304194,3.235499508049639,1,4,45,1
351,Thermostat,13.399376343541684,2.6557658598189358,0,4,22,0
352,Thermostat,4.94610112117334,0.4736984379775906,0,4,13,0
353,Lights,17.429023966781475,5.873632102642155,0,4,39,0
354,Smart Speaker,12.511170504503262,2.3766180124702387,1,3,11,1
355,Thermostat,14.701355082647515,1.5665258279621928,0,4,18,0
356,Security System,11.331110947854674,6.572916641894008,0,3,30,0
357,Smart Speaker,19.97466111972315,6.843971652433334,1,0,33,1
358,Camera,19.99472381855167,7.546333433350893,1,0,44,1
359,Lights,17.170637312873076,5.085411273752055,1,4,3,1
360,Camera,2.9769323688168634,8.951140591518477,0,4,58,0
361,Smart Speaker,20.213065754745617,9.369793258642455,0,4,1,0
362,Smart Speaker,16.268805042523383,8.092972303945645,1,0,36,1
363,Smart Speaker,16.88006790110104,6.392375471881054,0,2,6,0
364,Camera,9.030096749490983,3.106837440552768,0,0,37,0
365,Smart Speaker,21.163069569689657,9.83115472404019,1,4,29,1
366,Camera,17.54623260551915,2.8139480552001896,1,2,11,1
367,Smart Speaker,3.14587596343607,2.1063035277052675,0,2,52,0
368,Security System,10.082783808544823,4.4773257264871695,1,1,55,1
369,Smart Speaker,21.32993850606333,0.6627216500526457,1,3,13,1
370,Camera,1.6091224898884064,9.787095200250729,0,4,11,0
371,Thermostat,23.093290561588162,5.925492208522606,0,3,59,0
372,Smart Speaker,16.460320355509726,5.613825707475335,0,1,38,0
373,Thermostat,15.33733547461935,6.592383171007227,0,3,51,0
374,Security System,6.858142527467797,5.020534112994346,0,4,25,0
375,Lights,6.346607035370661,0.41742881923596165,0,1,15,0
376,Security System,22.638368157981994,6.161881759519928,1,3,53,0
377,Smart Speaker,7.509402674501884,7.190121381868663,1,0,13,1
378,Thermostat,18.724374472896486,4.225815700178126,1,2,42,1
379,Thermostat,9.73836225786636,7.59722616350481,0,1,33,0
380,Camera,3.7724706634405436,2.347312863450364,0,0,13,0
381,Thermostat,0.7518094958409354,2.290638251555222,0,4,38,0
382,Camera,13.290047419858395,1.6980281781069824,0,2,53,0
383,Lights,23.430802235899918,3.7827481219127024,0,1,58,0
384,Smart Speaker,9.174700554516305,8.485419150351927,1,2,24,1
385,Camera,8.894019848836553,8.296329415275737,0,1,20,0
386,Lights,8.58615301946189,3.8899596588386878,1,1,44,1
387,Thermostat,12.732780176664173,5.932275486204341,0,3,17,0
388,Thermostat,10.8556247604709,7.236081533101665,1,2,59,0
389,Lights,21.17799372808484,2.487947068817428,1,2,50,1
390,Thermostat,12.379738605502022,1.7645967503579962,1,0,24,1
391,Lights,12.432309197431367,9.72375033280188,1,4,26,1
392,Camera,3.75173247593308,6.2138174007752225,1,0,40,0
393,Camera,23.59437921139407,9.816015646153273,1,3,32,1
394,Lights,6.374362935417498,3.443784272609068,1,1,29,1
395,Camera,2.224055585300663,7.060013829743902,0,3,14,0
396,Camera,16.083936850917407,2.3037760017582536,0,3,37,0
397,Camera,14.491109698686508,2.685881695611738,1,0,22,1
398,Security System,10.255922868829524,5.167831000569278,0,1,34,0
399,Smart Speaker,10.421517496195934,3.2642194425299054,0,4,27,0
400,Thermostat,18.949002144591134,1.7594534820217864,1,3,28,1
401,Security System,5.099247042341753,2.7025189496943276,0,4,57,0
402,Camera,19.775952995204907,0.45390910521205996,1,1,22,1
403,Lights,15.745557176532927,7.073793852627118,0,1,57,0
404,Camera,10.345789683818824,4.97195490515003,1,0,43,1
405,Smart Speaker,11.263672489720912,1.0330063574048036,0,2,58,0
406,Camera,6.5312093688732515,1.7997705319720632,1,0,3,1
407,Lights,18.17468681837891,1.1150919273151758,0,4,22,0
408,Smart Speaker,12.552556444173792,6.164668801931177,0,0,58,0
409,Camera,8.040081754621324,1.0326825997636886,0,1,48,0
410,Smart Speaker,14.50717772038233,7.567395097048639,1,3,21,1
411,Thermostat,23.89975962320609,0.3030581012718726,1,2,16,1
412,Thermostat,10.728663571929015,2.5688203011593322,0,1,9,0
413,Camera,22.13624791829756,8.91760009132988,0,3,13,0
414,Smart Speaker,8.607895738227304,7.213460049410235,1,4,10,1
415,Lights,1.7862186127371684,0.8223864959643085,0,4,49,0
416,Camera,5.299689499658078,8.22914843440328,0,4,57,0
417,Thermostat,10.339335868200578,4.981047703248027,1,0,21,1
418,Thermostat,5.661420821972372,8.48315196897141,1,4,49,0
419,Camera,0.5053353981290052,6.047323767058894,0,4,42,0
420,Smart Speaker,22.00253613706689,6.850147017125301,1,0,40,1
421,Thermostat,20.33116616392683,9.935665447917511,0,3,7,0
422,Smart Speaker,17.943867439943258,2.40012190464778,0,1,46,0
423,Thermostat,4.443642997681673,6.277061190137744,1,2,22,0
424,Thermostat,3.3285440409346725,4.657181761568244,0,4,18,0
425,Security System,2.088711612601004,0.4905743339346452,1,4,21,1
426,Thermostat,17.514685936163648,0.24325935087836384,1,4,51,1
427,Lights,22.326987076165306,1.280362920396801,0,0,50,0
428,Camera,10.61759179145637,6.526008231331626,1,0,14,1
429,Camera,3.299805791907132,5.714914570342582,0,0,10,0
430,Smart Speaker,12.541231287204504,5.578952655520902,1,2,33,1
431,Thermostat,8.697549825277807,0.4153819490297749,0,1,9,0
432,Lights,9.308385722224946,4.74609966396407,1,4,18,1
433,Smart Speaker,15.101269667659121,9.253765896641033,0,3,13,0
434,Security System,17.389875661661755,4.036159506175402,0,4,59,0
435,Smart Speaker,3.09918457351928,6.286732450905718,1,4,17,0
436,Smart Speaker,1.3363704239521952,7.820204888669121,0,4,23,0
