Character ID,Character Name,Species,Gender,House,Patronus,Wand (Wood),Wand (Core)
76,Mundungus Fletcher,Human,Male,,,,
77,Muriel,Human,Female,,,,
78,Parvati Patil,Human,Female,Gryffindor,,,
79,Pomona Sprout,Human,Female,Hufflepuff,,,
80,Vincent Crabbe,Human,Male,Slytherin,,,
81,Fleur Delacour,Human (Quarter-Veela),Female,Beauxbatons Academy of Magic,,,
82,Marcus Flint,Human,Male,Slytherin,,,
83,Mary Cattermole,Human,Female,,,,
84,Albus Potter,Human,Male,Slytherin,,,
85,Poppy Pomfrey,Human,Female,,,,
86,Serpent of Slitherin,Basilisk,Female,,,,
87,Firenze,Centaur,Male,,,,
88,Arabella Figg,Human,Female,,,,
89,Barty Crouch Jr.,Human,Male,,,,
90,Mrs. Cole,Human,Male,,,,
91,Pansy Parkinson,Human,Female,Slytherin,,,
92,Tom,Human,Male,,,,
93,Grawp,Giant,Male,,,,
94,Katie Bell,Human,Female,Gryffindor,,,
95,Mrs. Granger,Human,Female,,,,
96,Pius Thicknesse,Human,Male,,,,
97,Bane,Centaur,Male,,,,
98,Gellert Grindelwald,Human,Male,Durmstrang Institute,,,
99,Gregory Goyle,Human,Male,Slytherin,,,
100,Leanne,Human,Female,Hufflepuff,,,
101,Padma Patil,Human,Female,Ravenclaw,,,
102,Fenrir Greyback,Werewolf,Male,,,,
103,Magorian,Centaur,Male,,,,
104,Bathilda Bagshot,Human,Female,,,,
105,Blaise Zabini,Human,Male,Slytherin,,,
106,Colin Creevey,Human,Male,Gryffindor,,,
107,Everard,Human,Male,,,,
108,Griselda Marchbanks,Human,Female,,,,
109,Justin Finch-Fletchley,Human,Male,Hufflepuff,,,
110,Mr. Granger,Human,Male,,,,
111,Nigel Wolpert,Human,Male,Gryffindor,,,
112,Perkins,Human,Male,,,,
113,Phineas,Human,Male,,,,
114,Viktor Krum,Human,Male,Durmstrang Institute,,,
115,Walburga Black,Human,Female,Slytherin,,,
116,Zacharias Smith,Human,Male,Hufflepuff,,,
117,Bloody Baron,Ghost,Male,Slytherin,,,
118,Ernest Macmillan,Human,Male,Hufflepuff,Boar,,
119,Michael Corner,Human,Male,Ravenclaw,Squirrel,,
120,Alecto Carrow,Human,Female,Slytherin,,,
121,Charity Burbage,Human,Female,,,,
122,Dilys Derwent,Human,Female,,,,
123,Eldred Worple,Human,Male,,,,
124,Marcus Belby,Human,Male,Ravenclaw,,,
125,Mykew Gregorovitch,Human,Male,,,,
126,Other,,,,,,
127,Students,,,,,,
128,Sorting Hat,,,,,,
129,Ghosts,,,,,,
130,Merpeople,,,,,,
131,Gang thug,,,,,,
132,Goblin,,,,,,
133,Station guard,,,,,,
134,Girl,,,,,,
135,Guard,,,,,,
136,All,,,,,,
137,Maid,,,,,,
138,Boy,,,,,,
139,Man,,,,,,
140,Woman,,,,,,
141,The Fat Lady,,,,,,
142,Snatcher,,,,,,
143,Wizard,,,,,,
144,Diary,,,,,,
145,Trolley witch,,,,,,
146,Waitress,,,,,,
147,Ghost,,,,,,
148,Howler,,,,,,
149,Old man,,,,,,
150,Shrunken head,,,,,,
151,Skinny kid,,,,,,
152,Snake,,,,,,
153,Witch,,,,,,
154,Class,,,,,,
155,Whomping Willow,,,,,,
156,Centaur,,,,,,
157,Death Eater,,,,,,
158,Man in a painting,,,,,,
159,Photographer,,,,,,
160,Pixie,,,,,,
161,Student,,,,,,
162,Waiter,,,,,,
163,Boy 2,,,,,,
164,Crowd,,,,,,
165,Gryffindors,,,,,,
166,Professors,,,,,,
