Company,Item,Calories,"Calories from
Fat","Total Fat
(g)","Saturated Fat
(g)","Trans Fat
(g)","Cholesterol
(mg)","Sodium 
(mg)","Carbs
(g)","Fiber
(g)","Sugars
(g)","Protein
(g)","Weight Watchers
Pnts"
McDonald’s,Premium Grilled Chicken Ranch BLT Sandwich,380,90,10,3,0,75,1000,41,4,9,31,361
McDonald’s,Premium Crispy Chicken Ranch BLT Sandwich,540,210,23,4.5,0,55,1160,56,3,11,27,528.5
McDonald’s,Southern Style Crispy Chicken Sandwich,400,150,17,3,0,45,1030,39,1,6,24,385
McDonald’s,Ranch Snack Wrap® (Crispy),340,150,17,4.5,0,30,810,33,1,2,14,332.5
McDonald’s,Ranch Snack Wrap® (Grilled),270,90,10,4,0,45,830,26,1,2,18,258
McDonald’s,Honey Mustard Snack Wrap® (Crispy),330,140,16,4.5,0,30,780,34,1,4,14,324.5
McDonald’s,Honey Mustard Snack Wrap® (Grilled),260,80,9,3.5,0,45,800,27,1,4,18,249.5
McDonald’s,Chipotle BBQ Snack Wrap® (Crispy),330,140,15,4.5,0,30,810,35,1,4,14,324.5
McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),260,80,9,3.5,0,45,830,28,1,5,18,250.5
McDonald’s,Angus Bacon & Cheese Snack Wrap,390,190,21,9,1,75,1080,28,1,4,21,382
McDonald’s,Angus Chipotle BBQ Bacon,800,350,39,18,2,145,2020,66,4,16,45,789
McDonald’s,Angus Chipotle BBQ Bacon Snack Wrap,400,190,22,10,1,75,1060,30,1,6,21,395
McDonald’s,Angus Deluxe Snack Wrap,410,220,25,10,1.5,75,990,27,2,3,20,403
McDonald’s,Angus Mushroom & Swiss Snack Wrap,430,230,26,10,1.5,75,730,27,2,2,22,420
McDonald’s,Mac Snack Wrap,330,170,19,7,1,45,690,26,1,3,15,325
McDonald’s,Small French Fries,230,100,11,1.5,0,0,160,29,3,0,3,228.5
McDonald’s,Medium French Fries,380,170,19,2.5,0,0,270,48,5,0,4,378.5
McDonald’s,Large French Fries,500,220,25,3.5,0,0,350,63,6,0,6,497.5
McDonald’s,Ketchup Packet,15,0,0,0,0,0,110,3,0,2,0,17
McDonald’s,Salt Packet,0,0,0,0,0,0,270,0,0,0,0,0
McDonald’s,Chicken McNuggets® (4 piece),190,110,12,2,0,25,360,12,1,0,9,183
McDonald’s,Chicken McNuggets® (6 piece),280,160,18,3,0,40,540,18,1,0,13,270
McDonald’s,Chicken McNuggets® (10 piece),470,270,30,5,0,65,900,30,2,0,22,453
McDonald’s,Barbeque Sauce,50,0,0,0,0,0,260,12,0,10,0,60
McDonald’s,Honey,50,0,0,0,0,0,0,12,0,11,0,61
McDonald’s,Hot Mustard Sauce,60,20,2.5,0,0,5,250,9,2,6,1,65
McDonald’s,Sweet ‘N Sour Sauce,50,0,0,0,0,0,150,12,0,10,0,60
McDonald’s,Chicken Selects® Premium Breast Strips (3 pc),400,210,24,3.5,0,50,1010,23,0,0,23,380.5
McDonald’s,Chicken Selects® Premium Breast Strips (5 pc),660,360,40,6,0,85,1680,39,0,0,38,628
McDonald’s,Spicy Buffalo Sauce,60,50,6,1,0,0,800,1,1,0,0,61
McDonald’s,Creamy Ranch Sauce,170,160,18,3,0,10,270,2,0,1,0,174
McDonald’s,Tangy Honey Mustard Sauce,60,20,2,0,0,5,140,10,0,8,0,68
McDonald’s,Southwestern Chipotle Barbeque Sauce,60,0,0,0,0,0,210,15,1,11,0,71
McDonald’s,Premium Southwest Salad with Grilled Chicken,320,80,9,3,0,70,960,30,6,11,30,304
McDonald’s,Premium Southwest Salad with Crispy Chicken,430,180,20,4,0,55,920,38,6,12,26,420
McDonald’s,Premium Southwest Salad (without chicken),140,40,4.5,2,0,10,150,20,6,6,6,142
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,260,90,9,4,0,90,1010,12,3,5,33,236
McDonald’s,Premium Bacon Ranch Salad with Crispy Chicken,370,180,20,6,0,75,970,20,3,6,29,353
McDonald’s,Premium Bacon Ranch Salad (without chicken),140,70,7,3.5,0,25,300,10,3,4,9,138.5
McDonald’s,Premium Caesar Salad with Grilled Chicken,220,60,6,3,0,75,890,12,3,5,30,198
McDonald’s,Premium Caesar Salad with Crispy Chicken,330,150,17,4.5,0,60,840,20,3,6,26,314.5
McDonald’s,Premium Caesar Salad (without chicken),90,35,4,2.5,0,10,180,9,3,4,7,89.5
McDonald’s,Side Salad,20,0,0,0,0,0,10,4,1,2,1,21
McDonald’s,Butter Garlic Croutons,60,15,1.5,0,0,0,140,10,1,0,2,58
McDonald’s,Snack Size Fruit & Walnut Salad,210,70,8,1.5,0,5,60,31,2,25,4,232.5
McDonald’s,Newman’s Own® Creamy Southwest Dressing,100,50,6,1,0,20,340,11,0,3,1,103
McDonald’s,Newman’s Own® Creamy Caesar Dressing,190,170,18,3.5,0,20,500,4,0,2,2,193.5
McDonald’s,Newman’s Own® Low Fat Balsamic Vinaigrette,40,25,3,0,0,0,730,4,0,3,0,43
McDonald’s,Newman’s Own® Low Fat Family Recipe Italian Dressing,60,20,2.5,0,0,0,730,8,0,1,1,60
McDonald’s,Newman’s Own® Ranch Dressing,170,130,15,2.5,0,20,530,9,0,4,1,175.5
McDonald’s,Egg McMuffin®,300,110,12,5,0,260,820,30,2,3,18,290
McDonald’s,Sausage McMuffin®,370,200,22,8,0,45,850,29,2,2,14,366
McDonald’s,Sausage McMuffin® with Egg,450,250,27,10,0,285,920,30,2,2,21,441
McDonald’s,English Muffin,160,30,3,0.5,0,0,280,27,2,2,5,157.5
McDonald’s,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420,210,23,12,0,235,1160,37,2,3,15,420
McDonald’s,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480,240,27,12,0,235,1270,43,3,4,15,481
McDonald’s,Sausage Biscuit with Egg (Regular Size Biscuit),510,290,33,14,0,250,1170,36,2,2,18,508
McDonald’s,Sausage Biscuit with Egg (Large Size Biscuit),570,330,37,15,0,250,1280,42,3,3,18,570
McDonald’s,Sausage Biscuit (Regular Size Biscuit),430,240,27,12,0,30,1080,34,2,2,11,433
McDonald’s,Sausage Biscuit (Large Size Biscuit),480,280,31,13,0,30,1190,39,3,3,11,485
McDonald’s,Southern Style Chicken Biscuit (Regular Size Biscuit),410,180,20,8,0,30,1180,41,2,3,17,404
McDonald’s,Southern Style Chicken Biscuit (Large Size Biscuit),470,220,24,9,0,30,1290,46,3,4,17,466
McDonald’s,"Steak, Egg & Cheese Bagel",660,300,33,12,1,300,1580,56,3,7,33,646
McDonald’s,"Bacon, Egg & Cheese McGriddles®",420,160,18,8,0,240,1110,48,2,15,15,428
McDonald’s,"Sausage, Egg & Cheese McGriddles®",560,290,32,12,0,265,1360,48,2,15,20,567
McDonald’s,Sausage McGriddles®,420,200,22,8,0,35,1030,44,2,15,11,432
McDonald’s,Big Breakfast® (Regular Size Biscuit),740,430,48,17,0,555,1560,51,3,3,28,732
McDonald’s,Big Breakfast® (Large Size Biscuit),800,470,52,18,0,555,1680,56,4,3,28,793
McDonald’s,Big Breakfast with Hotcakes (Regular Size Biscuit),1090,510,56,19,0,575,2150,111,6,17,36,1090
McDonald’s,Big Breakfast with Hotcakes (Large Size Biscuit),1150,540,60,20,0,575,2260,116,7,17,36,1151
McDonald’s,Sausage Burrito,300,140,16,7,0,115,830,26,1,2,12,297
McDonald’s,McSkillet™ Burrito with Sausage,610,320,36,14,0.5,410,1390,44,3,4,27,601
McDonald’s,Hotcakes,350,80,9,2,0,20,590,60,3,14,8,358
McDonald’s,Hotcakes and Sausage,520,210,24,7,0,50,930,61,3,14,15,526
McDonald’s,Hotcake Syrup,180,0,0,0,0,0,20,45,0,32,0,212
McDonald’s,Whipped Margarine (1 pat),40,40,4.5,1.5,0,0,55,0,0,0,0,41.5
McDonald’s,Hash Brown,150,80,9,1.5,0,0,310,15,2,0,1,150.5
McDonald’s,Grape Jam,35,0,0,0,0,0,0,9,0,9,0,44
McDonald’s,Strawberry Preserves,35,0,0,0,0,0,0,9,0,9,0,44
McDonald’s,"Bacon, Egg & Cheese Bagel",560,240,27,9,0.5,260,1300,56,3,7,24,552
McDonald’s,Fruit & Maple Oatmeal,290,40,4.5,2,0,10,160,57,5,32,5,319
McDonald’s,Fruit & Maple Oatmeal without Brown Sugar,260,40,4.5,2,0,10,115,48,5,18,5,275
McDonald’s,Hamburger Happy Meal,475,,16,5.5,0,40,690,62,2,20,22,
McDonald’s,4 Piece Chicken McNuggets Happy Meal,395,,17,3.5,0,35,510,41,1,14,19,
McDonald’s,6 Piece Chicken McNuggets® Happy Meal,475,,22,4.5,0,50,680,46,2,14,24,
McDonald’s,Fruit ‘n Yogurt Parfait (7 oz),160,20,2,1,0,5,85,31,1,21,4,178
McDonald’s,Low Fat Caramel Dip,70,5,0.5,0,0,5,35,15,0,9,0,79
McDonald’s,Vanilla Reduced Fat Ice Cream Cone,150,35,3.5,2,0,15,60,24,0,18,4,166
McDonald’s,Kiddie Cone,45,10,1,0.5,0,5,20,8,0,6,1,50.5
McDonald’s,Strawberry Sundae,280,60,6,4,0,25,95,49,1,45,6,323
McDonald’s,Hot Caramel Sundae,340,70,8,5,0,30,160,60,1,44,7,382
McDonald’s,Hot Fudge Sundae,330,90,10,7,0,25,180,54,2,48,8,377
McDonald’s,Peanuts (for Sundaes),45,30,3.5,0.5,0,0,0,2,1,0,2,43.5
McDonald’s,McFlurry® with M&M’S® Candies (12 fl oz cup),710,230,25,16,1,60,220,105,4,97,15,808
McDonald’s,McFlurry® with OREO® Cookies (12 fl oz cup),580,170,19,10,1,50,320,89,3,73,13,650
McDonald’s,Baked Hot Apple Pie,250,110,13,7,0,0,170,32,4,13,2,268
McDonald’s,Cinnamon Melts,460,170,19,9,0,15,370,66,3,32,6,495
McDonald’s,McDonaldland® Cookies,260,70,8,2.5,0,0,300,43,1,13,4,271.5
McDonald’s,Chocolate Chip Cookie,160,70,8,3.5,0,10,90,21,1,15,2,176.5
McDonald’s,Oatmeal Raisin Cookie,150,50,6,2.5,0,10,135,22,1,13,2,163.5
McDonald’s,Sugar Cookie,160,60,7,3,0,5,120,21,0,11,2,172
McDonald’s,Apple Dippers with Low Fat Caramel Dip,100,5,0.5,0,0,5,35,23,0,15,0,115
McDonald’s,Chocolate McCafé® Shake (12 fl oz cup),580,150,17,10,1,50,240,94,1,77,11,656
McDonald’s,Chocolate McCafé® Shake (16 fl oz cup),720,180,20,12,1,60,300,119,1,98,15,815
McDonald’s,Chocolate McCafé® Shake (22 fl oz cup),880,220,24,15,1.5,75,370,147,1,121,18,998
McDonald’s,Chocolate Triple Thick® Shake (12 fl oz cup),440,90,10,6,0.5,40,190,76,1,63,10,499
McDonald’s,Chocolate Triple Thick® Shake (16 fl oz cup),580,120,14,8,1,50,250,102,1,84,13,659
McDonald’s,Chocolate Triple Thick® Shake (21 fl oz cup),770,160,18,11,1,70,330,134,1,111,18,874
McDonald’s,Chocolate Triple Thick® Shake (32 fl oz cup),1160,240,27,16,2,100,510,203,2,168,27,1317
McDonald’s,Snack Size McFlurry® with M&M’S® Candies,430,140,16,10,0.5,35,130,64,2,59,9,490
McDonald’s,Snack Size McFlurry® with OREO® Cookies,340,100,12,6,0,30,200,53,2,43,8,381
McDonald’s,Strawberry McCafé® Shake (12 fl oz cup),570,150,17,10,1,50,170,92,0,79,11,648
McDonald’s,Strawberry McCafé® Shake (16 fl oz cup),710,180,20,12,1,65,210,116,0,100,14,808
McDonald’s,Strawberry McCafé® Shake (22 fl oz cup),860,220,24,15,1.5,75,260,144,0,124,18,981
McDonald’s,Strawberry Triple Thick® Shake (12 fl oz cup),420,90,10,6,0.5,40,130,73,0,63,10,479
McDonald’s,Strawberry Triple Thick® Shake (16 fl oz cup),560,120,13,8,1,50,170,97,0,84,13,639
McDonald’s,Strawberry Triple Thick® Shake (21 fl oz cup),740,160,18,11,1,70,230,128,0,111,17,845
McDonald’s,Strawberry Triple Thick® Shake (32 fl oz cup),1110,240,26,16,2,100,350,194,0,168,25,1269
McDonald’s,Vanilla McCafé® Shake (12 fl oz cup),540,150,16,10,1,45,170,88,0,64,10,604
McDonald’s,Vanilla McCafé® Shake (16 fl oz cup),680,180,20,12,1,60,220,111,0,82,14,760
McDonald’s,Vanilla McCafé® Shake (22 fl oz cup),830,210,24,14,1.5,75,270,138,0,103,17,930
McDonald’s,Vanilla Triple Thick Shake® (32 fl oz cup),1110,240,26,16,2,100,370,193,0,145,25,1246
McDonald’s,Vanilla Triple Thick® Shake (12 fl oz cup),420,90,10,6,0.5,40,140,72,0,54,9,471
McDonald’s,Vanilla Triple Thick® Shake (16 fl oz cup),550,120,13,8,1,50,190,96,0,72,13,617
McDonald’s,Vanilla Triple Thick® Shake (21 fl oz cup),740,160,18,11,1,70,250,128,0,96,17,830
McDonald’s,1% Low Fat Milk Jug,100,20,2.5,1.5,0,10,125,12,0,12,8,105.5
McDonald’s,1% Low Fat Chocolate Milk Jug,170,25,3,1.5,0,5,150,26,1,25,9,187.5
McDonald’s,Minute Maid® 100% Apple Juice Box,100,0,0,0,0,0,15,23,0,22,0,122
McDonald’s,Dasani® Water,0,0,0,0,0,0,0,0,0,0,0,0
McDonald’s,Minute Maid® Orange Juice (Small),150,0,0,0,0,0,0,30,0,30,2,178
McDonald’s,Minute Maid® Orange Juice (Medium),190,0,0,0,0,0,0,39,0,39,3,226
McDonald’s,Minute Maid® Orange Juice (Large),280,0,0,0,0,0,5,58,0,58,4,334
McDonald’s,Coca-Cola® Classic (Child),110,0,0,0,0,0,5,29,0,29,0,139
McDonald’s,Coca-Cola® Classic (Small),150,0,0,0,0,0,10,40,0,40,0,190
McDonald’s,Coca-Cola® Classic (Medium),210,0,0,0,0,0,15,58,0,58,0,268
McDonald’s,Coca-Cola® Classic (Large),310,0,0,0,0,0,20,86,0,86,0,396
McDonald’s,Diet Coke® (Child),0,0,0,0,0,0,15,0,0,0,0,0
McDonald’s,Diet Coke® (Small),0,0,0,0,0,0,20,0,0,0,0,0
McDonald’s,Diet Coke® (Medium),0,0,0,0,0,0,30,0,0,0,0,0
McDonald’s,Diet Coke® (Large),0,0,0,0,0,0,45,0,0,0,0,0
McDonald’s,Sprite® (Child),110,0,0,0,0,0,30,28,0,28,0,138
McDonald’s,Sprite® (Small),150,0,0,0,0,0,40,39,0,39,0,189
McDonald’s,Sprite® (Medium),210,0,0,0,0,0,55,56,0,56,0,266
McDonald’s,Sprite® (Large),310,0,0,0,0,0,80,83,0,83,0,393
McDonald’s,Hi-C® Orange Lavaburst (Child),120,0,0,0,0,0,0,32,0,32,0,152
McDonald’s,Hi-C® Orange Lavaburst (Small),160,0,0,0,0,0,5,44,0,44,0,204
McDonald’s,Hi-C® Orange Lavaburst (Medium),240,0,0,0,0,0,10,64,0,64,0,304
McDonald’s,Hi-C® Orange Lavaburst (Large),350,0,0,0,0,0,10,94,0,94,0,444
McDonald’s,POWERade® Mountain Blast (Child),70,0,0,0,0,0,65,20,0,16,0,86
McDonald’s,POWERade® Mountain Blast (Small),100,0,0,0,0,0,85,27,0,21,0,121
McDonald’s,POWERade® Mountain Blast (Medium),150,0,0,0,0,0,130,39,0,31,0,181
McDonald’s,POWERade® Mountain Blast (Large),220,0,0,0,0,0,190,58,0,46,0,266
McDonald’s,Iced Tea (Child),0,0,0,0,0,0,5,0,0,0,0,0
McDonald’s,Iced Tea (Small),0,0,0,0,0,0,10,0,0,0,0,0
McDonald’s,Iced Tea (Medium),0,0,0,0,0,0,15,0,0,0,0,0
McDonald’s,Iced Tea (Large),0,0,0,0,0,0,20,1,0,0,0,0
McDonald’s,Coffee (Small),0,0,0,0,0,0,0,0,0,0,0,0
McDonald’s,Coffee (Large),0,0,0,0,0,0,0,0,0,0,0,0
McDonald’s,Coffee Cream,20,20,2,1.5,0,10,15,0,0,0,0,21.5
McDonald’s,Sugar Packet,15,0,0,0,0,0,0,4,0,4,0,19
McDonald’s,"EQUAL® 0
Calorie Sweetener",0,0,0,0,0,0,0,1,0,1,0,1
McDonald’s,"SPLENDA® No
Calorie Sweetener",0,0,0,0,0,0,0,1,0,1,0,1
McDonald’s,Iced Coffee– Caramel (Small),130,50,5,3.5,0,20,80,21,0,20,1,152.5
McDonald’s,Iced Coffee– Caramel (Medium),190,70,8,5,0,30,115,27,0,27,2,220
McDonald’s,Iced Coffee– Caramel (Large),270,100,11,7,0,40,160,41,0,41,2,316
McDonald’s,Iced Coffee– Hazelnut (Small),130,50,5,3.5,0,20,40,21,0,21,1,153.5
McDonald’s,Iced Coffee– Hazelnut (Medium),190,70,8,5,0,30,60,29,0,29,2,222
McDonald’s,Iced Coffee– Hazelnut (Large),270,100,11,7,0,40,85,43,0,43,2,318
McDonald’s,Iced Coffee– Regular (Small),140,50,5,3.5,0,20,40,22,0,22,1,164.5
McDonald’s,Iced Coffee– Regular (Medium),200,70,8,5,0,30,60,30,0,30,2,233
McDonald’s,Iced Coffee– Regular (Large),280,100,11,7,0,40,85,45,0,45,2,330
McDonald’s,Iced Coffee– Vanilla (Small),130,50,5,3.5,0,20,40,21,0,21,1,153.5
McDonald’s,Iced Coffee– Vanilla (Medium),190,70,8,5,0,30,60,29,0,28,2,221
McDonald’s,Iced Coffee– Vanilla (Large),270,100,11,7,0,40,80,43,0,43,2,318
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Small),60,50,5,3.5,0,20,70,8,0,1,1,63.5
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Medium),90,70,8,5,0,30,100,11,0,2,2,95
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Large),120,100,11,7,0,40,140,16,0,2,2,127
McDonald’s,Sweet Tea (Child),110,0,0,0,0,0,5,27,0,27,0,137
McDonald’s,Sweet Tea (Large),280,0,0,0,0,0,15,69,0,69,1,348
McDonald’s,Sweet Tea (Medium),180,0,0,0,0,0,10,45,0,45,1,224
McDonald’s,Sweet Tea (Small),150,0,0,0,0,0,10,36,0,36,1,185
McDonald’s,Nonfat Cappuccino (Small),60,0,0,0,0,5,85,9,0,9,6,63
McDonald’s,Nonfat Cappuccino (Medium),80,0,0,0,0,5,110,12,0,12,8,84
McDonald’s,Nonfat Cappuccino (Large),90,0,0,0,0,5,130,13,0,13,9,94
McDonald’s,Nonfat Latte (Small),90,0,0,0,0,5,115,13,0,13,9,94
McDonald’s,Nonfat Latte (Medium),110,0,0,0,0,5,140,15,0,15,10,115
McDonald’s,Nonfat Latte (Large),120,0,0,0,0,5,160,18,0,18,12,126
McDonald’s,Nonfat Caramel Cappuccino (Small),150,0,0,0,0,5,120,33,0,32,5,177
McDonald’s,Nonfat Caramel Cappuccino (Medium),190,0,0,0,0,5,150,41,0,41,6,225
McDonald’s,Nonfat Caramel Cappuccino (Large),230,0,0,0,0,5,180,49,0,49,7,272
McDonald’s,Nonfat Caramel Latte (Small),170,0,0,0,0,5,150,36,0,36,7,199
McDonald’s,Nonfat Caramel Latte (Medium),220,0,0,0,0,5,180,45,0,45,9,256
McDonald’s,Nonfat Caramel Latte (Large),260,0,0,0,0,5,220,53,0,53,10,303
McDonald’s,Nonfat Hazelnut Cappuccino (Small),150,0,0,0,0,5,70,34,0,34,5,179
McDonald’s,Nonfat Hazelnut Cappuccino (Medium),190,0,0,0,0,5,90,43,0,43,6,227
McDonald’s,Nonfat Hazelnut Cappuccino (Large),230,0,0,0,0,5,100,51,0,51,7,274
McDonald’s,Nonfat Hazelnut Latte (Small),180,0,0,0,0,5,95,37,0,37,7,210
McDonald’s,Nonfat Hazelnut Latte (Medium),220,0,0,0,0,5,115,46,0,46,9,257
McDonald’s,Nonfat Hazelnut Latte (Large),260,0,0,0,0,5,135,55,0,55,10,305
McDonald’s,Nonfat Vanilla Cappuccino (Small),150,0,0,0,0,5,70,34,0,34,5,179
McDonald’s,Nonfat Vanilla Cappuccino (Medium),190,0,0,0,0,5,90,42,0,42,6,226
McDonald’s,Nonfat Vanilla Cappuccino (Large),230,0,0,0,0,5,100,51,0,51,7,274
McDonald’s,Nonfat Vanilla Latte (Small),180,0,0,0,0,5,95,37,0,37,7,210
McDonald’s,Nonfat Vanilla Latte (Medium),220,0,0,0,0,5,115,46,0,46,9,257
McDonald’s,Nonfat Vanilla Latte (Large),260,0,0,0,0,5,135,55,0,55,10,305
McDonald’s,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small),50,0,0,0,0,5,100,15,0,8,5,53
McDonald’s,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium),70,0,0,0,0,5,130,19,0,10,7,73
McDonald’s,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large),80,0,0,0,0,5,150,22,0,11,8,83
McDonald’s,Nonfat Latte with Sugar Free Vanilla Syrup (Small),80,0,0,0,0,5,130,18,0,11,7,84
McDonald’s,Nonfat Latte with Sugar Free Vanilla Syrup (Medium),90,0,0,0,0,5,160,22,0,13,9,94
McDonald’s,Nonfat Latte with Sugar Free Vanilla Syrup (Large),110,0,0,0,0,5,190,27,0,15,11,114
McDonald’s,Mocha with Nonfat Milk (Small),240,45,5,3,0,5,130,41,0,34,7,270
McDonald’s,Mocha with Nonfat Milk (Medium),280,50,6,3.5,0,10,160,50,0,42,8,317.5
McDonald’s,Mocha with Nonfat Milk (Large),330,50,6,3.5,0,10,190,58,0,50,10,373.5
McDonald’s,Hot Chocolate with Nonfat Milk (Small),250,45,5,3,0,10,140,43,0,37,8,282
McDonald’s,Hot Chocolate with Nonfat Milk (Medium),310,50,6,3.5,0,10,190,55,0,47,11,349.5
McDonald’s,Hot Chocolate with Nonfat Milk (Large),390,50,6,3.5,0,10,250,68,0,59,16,436.5
McDonald’s,Iced Nonfat Latte (Small),50,0,0,0,0,5,70,7,0,7,5,52
McDonald’s,Iced Nonfat Latte (Medium),60,0,0,0,0,5,90,9,0,9,6,63
McDonald’s,Iced Nonfat Latte (Large),70,0,0,0,0,5,105,11,0,11,7,74
McDonald’s,Iced Nonfat Caramel Latte (Small),140,0,0,0,0,0,105,30,0,30,3,167
McDonald’s,Iced Nonfat Caramel Latte (Medium),150,0,0,0,0,5,120,32,0,32,5,177
McDonald’s,Iced Nonfat Caramel Latte (Large),190,0,0,0,0,5,150,40,0,40,6,224
McDonald’s,Iced Nonfat Hazelnut Latte (Small),140,0,0,0,0,0,50,32,0,32,3,169
McDonald’s,Iced Nonfat Hazelnut Latte (Medium),150,0,0,0,0,5,70,33,0,33,5,178
McDonald’s,Iced Nonfat Hazelnut Latte (Large),190,0,0,0,0,5,80,42,0,42,6,226
McDonald’s,Iced Nonfat Vanilla Latte (Small),140,0,0,0,0,0,50,31,0,31,3,168
McDonald’s,Iced Nonfat Vanilla Latte (Medium),150,0,0,0,0,5,70,33,0,33,5,178
McDonald’s,Iced Nonfat Vanilla Latte (Large),190,0,0,0,0,5,85,41,0,41,6,225
McDonald’s,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small),40,0,0,0,0,0,85,13,0,5,4,41
McDonald’s,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium),50,0,0,0,0,5,100,14,0,6,5,51
McDonald’s,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large),60,0,0,0,0,5,130,19,0,8,6,62
McDonald’s,Iced Mocha with Nonfat Milk (Medium),270,70,8,4.5,0,10,140,43,0,35,7,302.5
McDonald’s,Iced Nonfat Caramel Mocha (Large),300,60,6,4,0,10,230,49,0,45,11,338
McDonald’s,Iced Nonfat Caramel Mocha (Medium),240,60,6,4,0,10,190,37,0,34,9,269
McDonald’s,Iced Nonfat Caramel Mocha (Small),200,50,6,4,0,10,140,29,0,26,6,224
McDonald’s,Nonfat Caramel Mocha (Large),280,35,4,2.5,0,10,260,49,0,46,12,316.5
McDonald’s,Nonfat Caramel Mocha (Medium),240,35,4,2.5,0,5,200,41,0,38,9,271.5
McDonald’s,Nonfat Caramel Mocha (Small),200,35,4,2.5,0,5,170,34,0,31,8,225.5
McDonald’s,Cappuccino (Small),120,60,7,4,0,20,85,9,0,9,6,127
McDonald’s,Cappuccino (Medium),140,70,8,4.5,0,25,105,11,0,11,8,147.5
McDonald’s,Cappuccino (Large),180,90,10,6,0,30,130,13,0,13,9,190
McDonald’s,Latte (Small) ,150,70,8,4.5,0,25,105,11,0,11,8,157.5
McDonald’s,Latte (Medium),180,90,10,6,0,30,130,13,0,13,10,189
McDonald’s,Latte (Large),210,100,11,7,0,35,150,16,0,16,11,222
McDonald’s,Caramel Cappuccino (Small),200,45,5,3,0,15,125,32,0,32,5,230
McDonald’s,Caramel Cappuccino (Medium),240,50,6,3.5,0,20,150,41,0,40,6,277.5
McDonald’s,Caramel Cappuccino (Large),290,70,8,4.5,0,25,190,49,0,49,8,335.5
McDonald’s,Caramel Latte (Small),230,60,7,4,0,20,140,35,0,35,7,262
McDonald’s,Caramel Latte (Medium),280,70,8,4.5,0,25,170,43,0,43,8,319.5
McDonald’s,Caramel Latte (Large),330,80,9,5,0,30,210,52,0,51,9,377
McDonald’s,Hazelnut Cappuccino (Small),200,45,5,3,0,15,70,34,0,34,5,232
McDonald’s,Hazelnut Cappuccino (Medium),240,50,6,3.5,0,20,85,42,0,42,6,279.5
McDonald’s,Hazelnut Cappuccino (Large),290,70,8,4.5,0,25,105,51,0,51,7,338.5
McDonald’s,Hazelnut Latte (Small),230,60,7,4,0,20,90,36,0,36,7,263
McDonald’s,Hazelnut Latte (Medium),280,70,8,4.5,0,25,110,45,0,45,8,321.5
McDonald’s,Hazelnut Latte (Large),330,80,9,5,0,30,130,53,0,53,9,379
McDonald’s,Vanilla Cappuccino (Small),200,45,5,3,0,15,70,34,0,34,5,232
McDonald’s,Vanilla Cappuccino (Medium),240,50,6,3.5,0,20,85,42,0,42,6,279.5
