"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN CONSUMPTION (tons)","NITROGEN SHARE IN NPK (Percent)","NITROGEN PER HA OF NCA (Kg per ha)","NITROGEN PER HA OF GCA (Kg per ha)","PHOSPHATE CONSUMPTION (tons)","PHOSPHATE SHARE IN NPK (Percent)","PHOSPHATE PER HA OF NCA (Kg per ha)","PHOSPHATE PER HA OF GCA (Kg per ha)","POTASH CONSUMPTION (tons)","POTASH SHARE IN NPK (Percent)","POTASH PER HA OF NCA (Kg per ha)","POTASH PER HA OF GCA (Kg per ha)","TOTAL CONSUMPTION (tons)","TOTAL PER HA OF NCA (Kg per ha)","TOTAL PER HA OF GCA (Kg per ha)"
"66","2011","5","Karnataka","Tumkur","32072.0","52.8","62.94","55.68","23002.0","37.8","45.14","39.94","5709.0","9.4","11.2","9.91","60783.0","119.29","105.53"
"66","2012","5","Karnataka","Tumkur","24537.0","67.3","50.09","44.06","8362.0","22.9","17.07","15.01","3583.0","9.8","7.31","6.43","36482.0","74.47","65.5"
"66","2013","5","Karnataka","Tumkur","24328.0","59.8","50.99","44.77","12390.0","30.5","25.97","22.8","3964.0","9.7","8.31","7.29","40682.0","85.27","74.86"
"66","2014","5","Karnataka","Tumkur","22880.0","57.1","43.98","38.16","11779.0","29.4","22.64","19.65","5407.0","13.5","10.39","9.02","40066.0","77.02","66.83"
"66","2015","5","Karnataka","Tumkur","27237.0","58.9","56.07","48.8","13053.0","28.2","26.87","23.39","5961.0","12.9","12.27","10.68","46251.0","95.21","82.87"
"66","2016","5","Karnataka","Tumkur","21285.0","55.8","45.45","39.53","12325.0","32.3","26.32","22.89","4538.0","11.9","9.69","8.43","38148.0","81.46","70.84"
"66","2017","5","Karnataka","Tumkur","24548.0","55.6","52.59","45.32","13290.0","30.1","28.47","24.54","6346.0","14.4","13.6","11.72","44184.0","94.66","81.57"
"67","2000","5","Karnataka","Mysore","32241.0","47.8","83.31","69.19","19787.0","29.3","51.13","42.46","15452.0","22.9","39.93","33.16","67480.0","174.37","144.81"
"67","2001","5","Karnataka","Mysore","29138.0","52.0","74.53","58.89","14188.0","25.3","36.29","28.68","12697.0","22.7","32.48","25.66","56023.0","143.3","113.23"
"67","2002","5","Karnataka","Mysore","25984.0","50.0","75.81","58.55","14331.0","27.6","41.81","32.29","11646.0","22.4","33.98","26.24","51961.0","151.6","117.08"
"67","2003","5","Karnataka","Mysore","21413.0","53.5","65.93","47.77","8345.0","20.9","25.69","18.62","10256.0","25.6","31.58","22.88","40014.0","123.2","89.26"
"67","2004","5","Karnataka","Mysore","23652.0","47.0","68.99","42.6","11431.0","22.7","33.34","20.59","15261.0","30.3","44.51","27.49","50344.0","146.84","90.69"
"67","2005","5","Karnataka","Mysore","27257.0","50.3","78.99","47.84","15111.0","27.9","43.79","26.52","11842.0","21.8","34.32","20.78","54210.0","157.09","95.14"
"67","2006","5","Karnataka","Mysore","27153.0","48.1","78.36","48.85","14719.0","26.1","42.48","26.48","14621.0","25.9","42.2","26.3","56493.0","163.04","101.64"
"67","2007","5","Karnataka","Mysore","26098.0","48.0","76.46","45.02","13649.0","25.1","39.99","23.54","14583.0","26.8","42.73","25.15","54330.0","159.18","93.71"
"67","2008","5","Karnataka","Mysore","30696.0","43.0","90.77","58.63","22281.0","31.2","65.88","42.56","18355.0","25.7","54.27","35.06","71332.0","210.92","136.25"
"67","2009","5","Karnataka","Mysore","33479.0","43.1","95.16","60.14","21450.0","27.6","60.97","38.53","22675.0","29.2","64.45","40.73","77604.0","220.58","139.4"
"67","2010","5","Karnataka","Mysore","33830.0","45.7","100.1","61.66","21165.0","28.6","62.62","38.58","19002.0","25.7","56.22","34.64","73997.0","218.95","134.88"
"67","2011","5","Karnataka","Mysore","35602.0","44.4","103.22","66.38","26903.0","33.6","78.0","50.16","17623.0","22.0","51.09","32.86","80128.0","232.32","149.4"
"67","2012","5","Karnataka","Mysore","30378.0","54.6","90.98","63.39","11560.0","20.8","34.62","24.12","13702.0","24.6","41.04","28.59","55640.0","166.65","116.11"
"67","2013","5","Karnataka","Mysore","33120.0","52.3","90.14","63.39","15342.0","24.2","41.75","29.36","14877.0","23.5","40.49","28.47","63339.0","172.38","121.23"
"67","2014","5","Karnataka","Mysore","35734.0","53.0","95.98","73.45","16909.0","25.1","45.42","34.75","14737.0","21.9","39.58","30.29","67380.0","180.98","138.49"
"67","2015","5","Karnataka","Mysore","38022.0","50.9","101.91","77.5","18617.0","24.9","49.9","37.95","18128.0","24.2","48.59","36.95","74767.0","200.4","152.4"
"67","2016","5","Karnataka","Mysore","32045.0","51.7","108.63","86.96","19509.0","31.5","66.13","52.94","10459.0","16.9","35.45","28.38","62014.0","210.22","168.28"
"67","2017","5","Karnataka","Mysore","34283.0","55.9","91.78","70.39","16491.0","26.9","44.15","33.86","10582.0","17.2","28.33","21.73","61356.0","164.25","125.97"
"68","2000","5","Karnataka","Mandya","39183.0","59.6","158.64","137.97","13875.0","21.1","56.17","48.86","12699.0","19.3","51.41","44.71","65757.0","266.22","231.54"
"68","2001","5","Karnataka","Mandya","40188.0","60.0","162.65","140.34","13262.0","19.8","53.67","46.31","13574.0","20.3","54.94","47.4","67024.0","271.26","234.06"
"68","2002","5","Karnataka","Mandya","30256.0","61.1","166.78","140.21","9515.0","19.2","52.45","44.09","9762.0","19.7","53.81","45.24","49533.0","273.04","229.54"
"68","2003","5","Karnataka","Mandya","23496.0","63.3","111.88","95.06","7080.0","19.1","33.71","28.65","6568.0","17.7","31.27","26.57","37144.0","176.86","150.28"
"68","2004","5","Karnataka","Mandya","33222.0","57.6","132.36","110.0","11294.0","19.6","45.0","37.39","13141.0","22.8","52.36","43.51","57657.0","229.72","190.9"
"68","2005","5","Karnataka","Mandya","43128.0","55.9","186.54","153.33","16692.0","21.6","72.2","59.35","17393.0","22.5","75.23","61.84","77213.0","333.97","274.52"
"68","2006","5","Karnataka","Mandya","46744.0","58.9","207.7","177.78","16826.0","21.2","74.77","63.99","15733.0","19.8","69.91","59.84","79303.0","352.38","301.61"
"68","2007","5","Karnataka","Mandya","51238.0","63.6","219.01","180.46","14502.0","18.0","61.99","51.08","14789.0","18.4","63.21","52.09","80529.0","344.21","283.62"
"68","2008","5","Karnataka","Mandya","53403.0","50.4","210.81","175.92","25935.0","24.5","102.38","85.43","26540.0","25.1","104.77","87.43","105878.0","417.96","348.78"
"68","2009","5","Karnataka","Mandya","57092.0","53.2","228.18","197.33","23342.0","21.8","93.29","80.68","26867.0","25.0","107.38","92.86","107301.0","428.84","370.87"
"68","2010","5","Karnataka","Mandya","61863.0","54.0","244.81","206.07","30942.0","27.0","122.45","103.07","21843.0","19.1","86.44","72.76","114648.0","453.69","381.89"
"68","2011","5","Karnataka","Mandya","63818.0","56.7","274.6","234.18","30827.0","27.4","132.65","113.12","17940.0","15.9","77.19","65.83","112585.0","484.44","413.13"
"68","2012","5","Karnataka","Mandya","50020.0","67.6","254.0","206.38","13403.0","18.1","68.06","55.3","10603.0","14.3","53.84","43.75","74026.0","375.9","305.43"
"68","2013","5","Karnataka","Mandya","54233.0","69.5","286.81","226.46","14117.0","18.1","74.66","58.95","9644.0","12.4","51.0","40.27","77994.0","412.47","325.68"
"68","2014","5","Karnataka","Mandya","53787.0","60.9","244.48","197.6","17248.0","19.5","78.4","63.37","17258.0","19.5","78.44","63.4","88293.0","401.31","324.37"
"68","2015","5","Karnataka","Mandya","53553.0","65.3","255.55","206.21","17093.0","20.8","81.57","65.82","11422.0","13.9","54.5","43.98","82068.0","391.62","316.01"
"68","2016","5","Karnataka","Mandya","38826.0","64.1","239.93","193.99","13127.0","21.7","81.12","65.59","8605.0","14.2","53.18","42.99","60558.0","374.22","302.57"
"68","2017","5","Karnataka","Mandya","49044.0","67.9","249.67","191.09","13855.0","19.2","70.53","53.98","9299.0","12.9","47.34","36.23","72198.0","367.54","281.3"
"69","2000","5","Karnataka","Hassan","32056.0","51.7","84.58","73.86","16540.0","26.7","43.64","38.11","13407.0","21.6","35.37","30.89","62003.0","163.6","142.86"
"69","2001","5","Karnataka","Hassan","27886.0","51.5","75.28","67.35","13474.0","24.9","36.37","32.54","12806.0","23.6","34.57","30.93","54166.0","146.22","130.83"
"69","2002","5","Karnataka","Hassan","26093.0","50.9","67.73","57.06","14165.0","27.6","36.77","30.98","11024.0","21.5","28.61","24.11","51282.0","133.11","112.15"
"69","2003","5","Karnataka","Hassan","22926.0","51.7","61.36","51.97","11622.0","26.2","31.1","26.35","9775.0","22.1","26.16","22.16","44323.0","118.62","100.47"
"69","2004","5","Karnataka","Hassan","25296.0","47.2","64.29","55.02","13389.0","25.0","34.03","29.12","14863.0","27.8","37.77","32.33","53548.0","136.09","116.48"
"69","2005","5","Karnataka","Hassan","32196.0","45.1","81.2","67.1","19296.0","27.0","48.67","40.22","19946.0","27.9","50.31","41.57","71438.0","180.18","148.88"
"69","2006","5","Karnataka","Hassan","32173.0","47.8","83.39","70.97","19685.0","29.2","51.02","43.42","15497.0","23.0","40.17","34.18","67355.0","174.59","148.58"
"69","2007","5","Karnataka","Hassan","36164.0","48.6","97.83","82.06","19180.0","25.7","51.89","43.52","19143.0","25.7","51.79","43.44","74487.0","201.5","169.01"
"69","2008","5","Karnataka","Hassan","33822.0","43.9","94.53","75.47","20146.0","26.2","56.31","44.95","23041.0","29.9","64.4","51.41","77009.0","215.24","171.83"
"69","2009","5","Karnataka","Hassan","35276.0","41.7","99.48","77.76","23069.0","27.3","65.06","50.85","26286.0","31.1","74.13","57.94","84631.0","238.67","186.55"
"69","2010","5","Karnataka","Hassan","35723.0","43.0","89.95","70.68","25271.0","30.4","63.63","50.0","22081.0","26.6","55.6","43.69","83075.0","209.17","164.36"
"69","2011","5","Karnataka","Hassan","44562.0","44.8","124.06","99.19","35649.0","35.8","99.25","79.35","19266.0","19.4","53.64","42.89","99477.0","276.95","221.43"
"69","2012","5","Karnataka","Hassan","32041.0","53.5","89.2","73.78","14451.0","24.1","40.23","33.28","13442.0","22.4","37.42","30.95","59934.0","166.84","138.02"
"69","2013","5","Karnataka","Hassan","34012.0","51.2","92.33","79.44","17781.0","26.8","48.27","41.53","14675.0","22.1","39.84","34.28","66468.0","180.44","155.25"
"69","2014","5","Karnataka","Hassan","37861.0","49.8","102.9","84.26","20048.0","26.4","54.49","44.62","18097.0","23.8","49.18","40.27","76006.0","206.57","169.15"
"69","2015","5","Karnataka","Hassan","38684.0","48.5","112.35","92.64","23535.0","29.5","68.35","56.36","17575.0","22.0","51.04","42.09","79794.0","231.74","191.09"
"69","2016","5","Karnataka","Hassan","33682.0","49.2","108.03","92.51","21937.0","32.1","70.36","60.25","12813.0","18.7","41.09","35.19","68431.0","219.47","187.96"
"69","2017","5","Karnataka","Hassan","32894.0","48.8","95.24","78.12","19091.0","28.3","55.28","45.34","15439.0","22.9","44.7","36.67","67424.0","195.23","160.13"
"70","2000","5","Karnataka","Shimoge","25369.0","47.0","116.91","100.67","16138.0","29.9","74.37","64.04","12519.0","23.2","57.69","49.68","54026.0","248.97","214.39"
"70","2001","5","Karnataka","Shimoge","21417.0","46.6","100.5","88.78","14388.0","31.3","67.52","59.64","10199.0","22.2","47.86","42.28","46004.0","215.88","190.71"
"70","2002","5","Karnataka","Shimoge","21977.0","49.3","100.9","92.53","13265.0","29.8","60.9","55.85","9292.0","20.9","42.66","39.12","44534.0","204.46","187.5"
"70","2003","5","Karnataka","Shimoge","17398.0","48.2","80.56","72.4","9892.0","27.4","45.81","41.16","8806.0","24.4","40.78","36.64","36096.0","167.15","150.2"
"70","2004","5","Karnataka","Shimoge","23941.0","46.1","109.8","96.63","14039.0","27.0","64.39","56.67","13996.0","26.9","64.19","56.49","51976.0","238.38","209.79"
"70","2005","5","Karnataka","Shimoge","28156.0","46.3","125.77","109.05","16669.0","27.4","74.46","64.56","16046.0","26.4","71.68","62.15","60871.0","271.9","235.76"
"70","2006","5","Karnataka","Shimoge","30281.0","48.2","135.36","116.51","18846.0","30.0","84.25","72.51","13666.0","21.8","61.09","52.58","62793.0","280.7","241.6"
"70","2007","5","Karnataka","Shimoge","28247.0","50.7","127.88","110.27","13794.0","24.8","62.45","53.85","13631.0","24.5","61.71","53.21","55672.0","252.03","217.33"
"70","2008","5","Karnataka","Shimoge","31523.0","45.7","144.55","123.21","19893.0","28.8","91.22","77.75","17580.0","25.5","80.61","68.71","68996.0","316.38","269.67"
"70","2009","5","Karnataka","Shimoge","35506.0","43.1","160.2","135.04","27136.0","32.9","122.43","103.21","19773.0","24.0","89.21","75.21","82415.0","371.84","313.46"
"70","2010","5","Karnataka","Shimoge","39171.0","46.8","172.67","146.59","25692.0","30.7","113.26","96.15","18804.0","22.5","82.89","70.37","83667.0","368.82","313.1"
"70","2011","5","Karnataka","Shimoge","44119.0","50.6","193.53","164.74","30709.0","35.2","134.71","114.67","12416.0","14.2","54.46","46.36","87244.0","382.7","325.77"
"70","2012","5","Karnataka","Shimoge","33134.0","57.1","143.93","123.36","14244.0","24.5","61.87","53.03","10678.0","18.4","46.38","39.75","58056.0","252.19","216.14"
"70","2013","5","Karnataka","Shimoge","31152.0","55.5","135.47","117.25","15482.0","27.6","67.32","58.27","9542.0","17.0","41.49","35.92","56176.0","244.29","211.44"
"70","2014","5","Karnataka","Shimoge","31992.0","54.3","140.06","121.22","15018.0","25.5","65.75","56.9","11877.0","20.2","52.0","45.0","58887.0","257.81","223.12"
"70","2015","5","Karnataka","Shimoge","30424.0","49.4","136.27","121.22","19692.0","32.0","88.2","78.46","11478.0","18.6","51.41","45.73","61594.0","275.87","245.41"
"70","2016","5","Karnataka","Shimoge","27793.0","49.1","122.06","112.9","17431.0","30.8","76.55","70.81","11385.0","20.1","50.0","46.25","56609.0","248.6","229.95"
"70","2017","5","Karnataka","Shimoge","29018.0","47.7","128.28","115.48","17441.0","28.7","77.1","69.41","14377.0","23.6","63.55","57.21","60836.0","268.93","242.1"
"71","2000","5","Karnataka","Chickmagalur","21714.0","44.0","76.73","71.43","12852.0","26.0","45.41","42.28","14785.0","30.0","52.24","48.63","49351.0","174.39","162.34"
"71","2001","5","Karnataka","Chickmagalur","17389.0","42.6","61.56","57.15","10120.0","24.8","35.83","33.26","13314.0","32.6","47.14","43.76","40823.0","144.53","134.17"
"71","2002","5","Karnataka","Chickmagalur","17487.0","43.4","62.77","58.76","9903.0","24.6","35.55","33.28","12868.0","32.0","46.19","43.24","40258.0","144.51","135.28"
"71","2003","5","Karnataka","Chickmagalur","14315.0","43.0","51.35","48.55","7895.0","23.7","28.32","26.77","11108.0","33.3","39.84","37.67","33318.0","119.51","112.99"
"71","2004","5","Karnataka","Chickmagalur","15186.0","37.1","53.09","46.6","11525.0","28.2","40.29","35.37","14219.0","34.7","49.71","43.63","40930.0","143.09","125.6"
"71","2005","5","Karnataka","Chickmagalur","20895.0","39.5","69.91","60.9","13439.0","25.4","44.96","39.17","18617.0","35.2","62.29","54.26","52951.0","177.15","154.32"
"71","2006","5","Karnataka","Chickmagalur","21640.0","41.1","72.99","65.47","14153.0","26.9","47.74","42.82","16798.0","31.9","56.66","50.82","52591.0","177.4","159.12"
"71","2007","5","Karnataka","Chickmagalur","22519.0","44.3","75.89","69.23","12693.0","25.0","42.77","39.02","15630.0","30.7","52.67","48.05","50842.0","171.33","156.31"
"71","2008","5","Karnataka","Chickmagalur","25069.0","42.0","84.72","76.14","14498.0","24.3","48.99","44.03","20174.0","33.8","68.17","61.27","59741.0","201.88","181.43"
"71","2009","5","Karnataka","Chickmagalur","28970.0","39.9","97.54","87.82","17958.0","24.7","60.46","54.44","25746.0","35.4","86.68","78.05","72674.0","244.69","220.31"
"71","2010","5","Karnataka","Chickmagalur","28664.0","40.9","95.85","86.93","20846.0","29.7","69.71","63.22","20613.0","29.4","68.93","62.51","70123.0","234.49","212.66"
"71","2011","5","Karnataka","Chickmagalur","32332.0","44.0","110.35","99.9","22503.0","30.6","76.8","69.53","18662.0","25.4","63.7","57.66","73497.0","250.85","227.09"
"71","2012","5","Karnataka","Chickmagalur","22944.0","45.2","77.58","68.92","12239.0","24.1","41.39","36.76","15564.0","30.7","52.63","46.75","50747.0","171.6","152.44"
"71","2013","5","Karnataka","Chickmagalur","25625.0","45.8","85.07","73.52","13679.0","24.4","45.41","39.24","16667.0","29.8","55.33","47.82","55971.0","185.81","160.58"
"71","2014","5","Karnataka","Chickmagalur","32013.0","43.3","107.23","89.52","16693.0","22.6","55.91","46.68","25302.0","34.2","84.75","70.75","74008.0","247.89","206.95"
"71","2015","5","Karnataka","Chickmagalur","35227.0","44.3","119.53","97.59","21511.0","27.0","72.99","59.59","22814.0","28.7","77.41","63.2","79552.0","269.92","220.38"
"71","2016","5","Karnataka","Chickmagalur","29822.0","43.9","102.7","90.58","19107.0","28.2","65.8","58.04","18933.0","27.9","65.2","57.51","67863.0","233.7","206.13"
"71","2017","5","Karnataka","Chickmagalur","28833.0","43.1","102.04","85.46","17782.0","26.6","62.93","52.7","20329.0","30.4","71.95","60.25","66944.0","236.92","198.41"
"72","2000","5","Karnataka","Chitradurga","14519.0","56.1","35.33","29.57","8230.0","31.8","20.02","16.76","3140.0","12.1","7.64","6.4","25889.0","62.99","52.73"
"72","2001","5","Karnataka","Chitradurga","13233.0","53.0","31.32","27.01","8679.0","34.8","20.54","17.72","3037.0","12.2","7.19","6.2","24949.0","59.04","50.93"
"72","2002","5","Karnataka","Chitradurga","13083.0","52.4","30.16","27.26","8015.0","32.1","18.47","16.7","3867.0","15.5","8.91","8.06","24965.0","57.55","52.02"
"72","2003","5","Karnataka","Chitradurga","8341.0","51.6","20.81","17.75","5607.0","34.7","13.99","11.93","2218.0","13.7","5.53","4.72","16166.0","40.33","34.41"
"72","2004","5","Karnataka","Chitradurga","12289.0","53.3","29.45","24.84","7740.0","33.6","18.55","15.65","3025.0","13.1","7.25","6.11","23054.0","55.24","46.6"
"72","2005","5","Karnataka","Chitradurga","13162.0","52.8","31.6","25.68","7966.0","31.9","19.13","15.54","3807.0","15.3","9.14","7.43","24935.0","59.87","48.64"
"72","2006","5","Karnataka","Chitradurga","12757.0","51.3","34.87","27.74","8064.0","32.4","22.04","17.53","4030.0","16.2","11.01","8.76","24851.0","67.92","54.03"
"72","2007","5","Karnataka","Chitradurga","11140.0","51.7","25.58","22.99","6391.0","29.6","14.68","13.19","4035.0","18.7","9.27","8.33","21566.0","49.53","44.51"
"72","2008","5","Karnataka","Chitradurga","11478.0","42.9","26.69","23.84","9980.0","37.3","23.21","20.73","5327.0","19.9","12.39","11.06","26785.0","62.29","55.64"
"72","2009","5","Karnataka","Chitradurga","14261.0","46.3","34.36","31.0","11911.0","38.7","28.7","25.89","4645.0","15.1","11.19","10.1","30817.0","74.24","66.99"
"72","2010","5","Karnataka","Chitradurga","18922.0","47.4","43.66","36.12","14031.0","35.1","32.37","26.78","7001.0","17.5","16.15","13.36","39954.0","92.19","76.26"
"72","2011","5","Karnataka","Chitradurga","23110.0","51.1","59.7","50.96","17037.0","37.7","44.01","37.57","5082.0","11.2","13.13","11.21","45229.0","116.84","99.74"
"72","2012","5","Karnataka","Chitradurga","14419.0","62.0","36.98","31.8","5547.0","23.9","14.23","12.23","3291.0","14.2","8.44","7.26","23257.0","59.65","51.29"
"72","2013","5","Karnataka","Chitradurga","17678.0","58.0","45.47","38.32","9364.0","30.7","24.08","20.3","3428.0","11.3","8.82","7.43","30470.0","78.37","66.06"
"72","2014","5","Karnataka","Chitradurga","21152.0","55.3","53.53","42.27","12181.0","31.8","30.82","24.34","4921.0","12.9","12.45","9.83","38254.0","96.8","76.45"
"72","2015","5","Karnataka","Chitradurga","24513.0","54.5","63.05","52.16","15256.0","33.9","39.24","32.47","5242.0","11.6","13.48","11.16","45011.0","115.77","95.78"
"72","2016","5","Karnataka","Chitradurga","20375.0","56.8","51.77","43.63","11971.0","33.4","30.42","25.63","3538.0","9.9","8.99","7.58","35884.0","91.18","76.84"
"72","2017","5","Karnataka","Chitradurga","14296.0","53.9","37.88","32.28","8614.0","32.5","22.83","19.45","3608.0","13.6","9.56","8.15","26518.0","70.27","59.88"
"73","2000","5","Karnataka","Bellary","63741.0","58.3","130.89","114.23","29021.0","26.6","59.59","52.01","16483.0","15.1","33.85","29.54","109245.0","224.32","195.78"
"73","2001","5","Karnataka","Bellary","65073.0","60.7","142.11","123.85","27613.0","25.8","60.3","52.56","14538.0","13.6","31.75","27.67","107224.0","234.16","204.08"
"73","2002","5","Karnataka","Bellary","49966.0","60.9","120.61","105.29","21499.0","26.2","51.89","45.3","10564.0","12.9","25.5","22.26","82029.0","198.0","172.86"
"73","2003","5","Karnataka","Bellary","46140.0","58.3","113.47","96.18","20739.0","26.2","51.0","43.23","12273.0","15.5","30.18","25.58","79152.0","194.65","165.0"
"73","2004","5","Karnataka","Bellary","61608.0","52.3","134.15","115.84","31073.0","26.4","67.66","58.43","25140.0","21.3","54.74","47.27","117821.0","256.55","221.54"
"73","2005","5","Karnataka","Bellary","70685.0","52.1","147.51","118.66","40211.0","29.6","83.91","67.5","24901.0","18.3","51.96","41.8","135797.0","283.39","227.97"
"73","2006","5","Karnataka","Bellary","63266.0","53.0","140.42","110.36","36444.0","30.5","80.89","63.57","19727.0","16.5","43.78","34.41","119437.0","265.09","208.34"
"73","2007","5","Karnataka","Bellary","72188.0","54.7","155.56","119.83","34909.0","26.4","75.23","57.95","24892.0","18.9","53.64","41.32","131989.0","284.42","219.09"
"73","2008","5","Karnataka","Bellary","77246.0","51.2","177.61","134.16","47029.0","31.2","108.13","81.68","26642.0","17.7","61.26","46.27","150917.0","347.0","262.1"
"73","2009","5","Karnataka","Bellary","93423.0","51.4","214.24","164.0","54995.0","30.3","126.12","96.54","33240.0","18.3","76.23","58.35","181658.0","416.58","318.89"
"73","2010","5","Karnataka","Bellary","88074.0","52.0","199.18","151.36","54774.0","32.3","123.87","94.13","26674.0","15.7","60.32","45.84","169522.0","383.38","291.34"
"73","2011","5","Karnataka","Bellary","98034.0","51.5","236.76","184.27","69604.0","36.6","168.1","130.83","22773.0","12.0","55.0","42.8","190411.0","459.85","357.9"
