,content,sentiment
97,leroy feels glad,joy
98,leroy feels relieved,joy
99,leroy feels excited,joy
100,torrance feels angry,anger
101,torrance feels furious,anger
102,torrance feels irritated,anger
103,torrance feels enraged,anger
104,torrance feels annoyed,anger
105,torrance feels sad,sadness
106,torrance feels depressed,sadness
107,torrance feels devastated,sadness
108,torrance feels miserable,sadness
109,torrance feels dissapointed,sadness
110,torrance feels terrified,fear
111,torrance feels discouraged,fear
112,torrance feels scared,fear
113,torrance feels anxious,fear
114,torrance feels fearful,fear
115,torrance feels happy,joy
116,torrance feels ecstatic,joy
117,torrance feels glad,joy
118,torrance feels relieved,joy
119,torrance feels excited,joy
120,darnell feels angry,anger
121,darnell feels furious,anger
122,darnell feels irritated,anger
123,darnell feels enraged,anger
124,darnell feels annoyed,anger
125,darnell feels sad,sadness
126,darnell feels depressed,sadness
127,darnell feels devastated,sadness
128,darnell feels miserable,sadness
129,darnell feels dissapointed,sadness
130,darnell feels terrified,fear
131,darnell feels discouraged,fear
132,darnell feels scared,fear
133,darnell feels anxious,fear
134,darnell feels fearful,fear
135,darnell feels happy,joy
136,darnell feels ecstatic,joy
137,darnell feels glad,joy
138,darnell feels relieved,joy
139,darnell feels excited,joy
140,lamar feels angry,anger
141,lamar feels furious,anger
142,lamar feels irritated,anger
143,lamar feels enraged,anger
144,lamar feels annoyed,anger
145,lamar feels sad,sadness
146,lamar feels depressed,sadness
147,lamar feels devastated,sadness
148,lamar feels miserable,sadness
149,lamar feels dissapointed,sadness
150,lamar feels terrified,fear
151,lamar feels discouraged,fear
152,lamar feels scared,fear
153,lamar feels anxious,fear
154,lamar feels fearful,fear
155,lamar feels happy,joy
156,lamar feels ecstatic,joy
157,lamar feels glad,joy
158,lamar feels relieved,joy
159,lamar feels excited,joy
160,malik feels angry,anger
161,malik feels furious,anger
162,malik feels irritated,anger
163,malik feels enraged,anger
164,malik feels annoyed,anger
165,malik feels sad,sadness
166,malik feels depressed,sadness
167,malik feels devastated,sadness
168,malik feels miserable,sadness
169,malik feels dissapointed,sadness
170,malik feels terrified,fear
171,malik feels discouraged,fear
172,malik feels scared,fear
173,malik feels anxious,fear
174,malik feels fearful,fear
175,malik feels happy,joy
176,malik feels ecstatic,joy
177,malik feels glad,joy
178,malik feels relieved,joy
179,malik feels excited,joy
180,terrence feels angry,anger
181,terrence feels furious,anger
182,terrence feels irritated,anger
183,terrence feels enraged,anger
184,terrence feels annoyed,anger
185,terrence feels sad,sadness
186,terrence feels depressed,sadness
187,terrence feels devastated,sadness
188,terrence feels miserable,sadness
189,terrence feels dissapointed,sadness
190,terrence feels terrified,fear
191,terrence feels discouraged,fear
192,terrence feels scared,fear
193,terrence feels anxious,fear
194,terrence feels fearful,fear
195,terrence feels happy,joy
196,terrence feels ecstatic,joy
197,terrence feels glad,joy
198,terrence feels relieved,joy
199,terrence feels excited,joy
200,adam feels angry,anger
201,adam feels furious,anger
202,adam feels irritated,anger
203,adam feels enraged,anger
204,adam feels annoyed,anger
205,adam feels sad,sadness
206,adam feels depressed,sadness
207,adam feels devastated,sadness
208,adam feels miserable,sadness
209,adam feels dissapointed,sadness
210,adam feels terrified,fear
211,adam feels discouraged,fear
212,adam feels scared,fear
213,adam feels anxious,fear
214,adam feels fearful,fear
215,adam feels happy,joy
216,adam feels ecstatic,joy
217,adam feels glad,joy
218,adam feels relieved,joy
219,adam feels excited,joy
220,harry feels angry,anger
221,harry feels furious,anger
222,harry feels irritated,anger
223,harry feels enraged,anger
224,harry feels annoyed,anger
225,harry feels sad,sadness
226,harry feels depressed,sadness
227,harry feels devastated,sadness
228,harry feels miserable,sadness
229,harry feels dissapointed,sadness
230,harry feels terrified,fear
231,harry feels discouraged,fear
232,harry feels scared,fear
233,harry feels anxious,fear
234,harry feels fearful,fear
235,harry feels happy,joy
236,harry feels ecstatic,joy
237,harry feels glad,joy
238,harry feels relieved,joy
239,harry feels excited,joy
240,josh feels angry,anger
241,josh feels furious,anger
242,josh feels irritated,anger
243,josh feels enraged,anger
244,josh feels annoyed,anger
245,josh feels sad,sadness
246,josh feels depressed,sadness
247,josh feels devastated,sadness
248,josh feels miserable,sadness
249,josh feels dissapointed,sadness
250,josh feels terrified,fear
251,josh feels discouraged,fear
252,josh feels scared,fear
253,josh feels anxious,fear
254,josh feels fearful,fear
255,josh feels happy,joy
256,josh feels ecstatic,joy
257,josh feels glad,joy
258,josh feels relieved,joy
259,josh feels excited,joy
260,roger feels angry,anger
261,roger feels furious,anger
262,roger feels irritated,anger
263,roger feels enraged,anger
264,roger feels annoyed,anger
265,roger feels sad,sadness
266,roger feels depressed,sadness
267,roger feels devastated,sadness
268,roger feels miserable,sadness
269,roger feels dissapointed,sadness
270,roger feels terrified,fear
271,roger feels discouraged,fear
272,roger feels scared,fear
273,roger feels anxious,fear
274,roger feels fearful,fear
275,roger feels happy,joy
276,roger feels ecstatic,joy
277,roger feels glad,joy
278,roger feels relieved,joy
279,roger feels excited,joy
280,alan feels angry,anger
281,alan feels furious,anger
282,alan feels irritated,anger
283,alan feels enraged,anger
284,alan feels annoyed,anger
285,alan feels sad,sadness
286,alan feels depressed,sadness
287,alan feels devastated,sadness
288,alan feels miserable,sadness
289,alan feels dissapointed,sadness
290,alan feels terrified,fear
291,alan feels discouraged,fear
292,alan feels scared,fear
293,alan feels anxious,fear
294,alan feels fearful,fear
295,alan feels happy,joy
296,alan feels ecstatic,joy
297,alan feels glad,joy
298,alan feels relieved,joy
299,alan feels excited,joy
300,frank feels angry,anger
301,frank feels furious,anger
302,frank feels irritated,anger
303,frank feels enraged,anger
304,frank feels annoyed,anger
305,frank feels sad,sadness
306,frank feels depressed,sadness
307,frank feels devastated,sadness
308,frank feels miserable,sadness
309,frank feels dissapointed,sadness
310,frank feels terrified,fear
311,frank feels discouraged,fear
312,frank feels scared,fear
313,frank feels anxious,fear
314,frank feels fearful,fear
315,frank feels happy,joy
316,frank feels ecstatic,joy
317,frank feels glad,joy
318,frank feels relieved,joy
319,frank feels excited,joy
320,justin feels angry,anger
321,justin feels furious,anger
322,justin feels irritated,anger
323,justin feels enraged,anger
324,justin feels annoyed,anger
325,justin feels sad,sadness
326,justin feels depressed,sadness
327,justin feels devastated,sadness
328,justin feels miserable,sadness
329,justin feels dissapointed,sadness
330,justin feels terrified,fear
331,justin feels discouraged,fear
332,justin feels scared,fear
333,justin feels anxious,fear
334,justin feels fearful,fear
335,justin feels happy,joy
336,justin feels ecstatic,joy
337,justin feels glad,joy
338,justin feels relieved,joy
339,justin feels excited,joy
340,ryan feels angry,anger
341,ryan feels furious,anger
342,ryan feels irritated,anger
343,ryan feels enraged,anger
344,ryan feels annoyed,anger
345,ryan feels sad,sadness
346,ryan feels depressed,sadness
347,ryan feels devastated,sadness
348,ryan feels miserable,sadness
349,ryan feels dissapointed,sadness
350,ryan feels terrified,fear
351,ryan feels discouraged,fear
352,ryan feels scared,fear
353,ryan feels anxious,fear
354,ryan feels fearful,fear
355,ryan feels happy,joy
356,ryan feels ecstatic,joy
357,ryan feels glad,joy
358,ryan feels relieved,joy
359,ryan feels excited,joy
360,andrew feels angry,anger
361,andrew feels furious,anger
362,andrew feels irritated,anger
363,andrew feels enraged,anger
364,andrew feels annoyed,anger
365,andrew feels sad,sadness
366,andrew feels depressed,sadness
367,andrew feels devastated,sadness
368,andrew feels miserable,sadness
369,andrew feels dissapointed,sadness
370,andrew feels terrified,fear
371,andrew feels discouraged,fear
372,andrew feels scared,fear
373,andrew feels anxious,fear
374,andrew feels fearful,fear
375,andrew feels happy,joy
376,andrew feels ecstatic,joy
377,andrew feels glad,joy
378,andrew feels relieved,joy
379,andrew feels excited,joy
380,jack feels angry,anger
381,jack feels furious,anger
382,jack feels irritated,anger
383,jack feels enraged,anger
384,jack feels annoyed,anger
385,jack feels sad,sadness
386,jack feels depressed,sadness
387,jack feels devastated,sadness
388,jack feels miserable,sadness
389,jack feels dissapointed,sadness
390,jack feels terrified,fear
391,jack feels discouraged,fear
392,jack feels scared,fear
393,jack feels anxious,fear
394,jack feels fearful,fear
395,jack feels happy,joy
396,jack feels ecstatic,joy
397,jack feels glad,joy
398,jack feels relieved,joy
399,jack feels excited,joy
400,he feels angry,anger
401,he feels furious,anger
402,he feels irritated,anger
403,he feels enraged,anger
404,he feels annoyed,anger
405,he feels sad,sadness
406,he feels depressed,sadness
407,he feels devastated,sadness
408,he feels miserable,sadness
409,he feels dissapointed,sadness
410,he feels terrified,fear
411,he feels discouraged,fear
412,he feels scared,fear
413,he feels anxious,fear
414,he feels fearful,fear
415,he feels happy,joy
416,he feels ecstatic,joy
417,he feels glad,joy
418,he feels relieved,joy
419,he feels excited,joy
420,this man feels angry,anger
421,this man feels furious,anger
422,this man feels irritated,anger
423,this man feels enraged,anger
424,this man feels annoyed,anger
425,this man feels sad,sadness
426,this man feels depressed,sadness
427,this man feels devastated,sadness
428,this man feels miserable,sadness
429,this man feels dissapointed,sadness
430,this man feels terrified,fear
431,this man feels discouraged,fear
432,this man feels scared,fear
433,this man feels anxious,fear
434,this man feels fearful,fear
435,this man feels happy,joy
436,this man feels ecstatic,joy
437,this man feels glad,joy
438,this man feels relieved,joy
439,this man feels excited,joy
440,this boy feels angry,anger
441,this boy feels furious,anger
442,this boy feels irritated,anger
443,this boy feels enraged,anger
444,this boy feels annoyed,anger
445,this boy feels sad,sadness
446,this boy feels depressed,sadness
447,this boy feels devastated,sadness
448,this boy feels miserable,sadness
449,this boy feels dissapointed,sadness
450,this boy feels terrified,fear
451,this boy feels discouraged,fear
452,this boy feels scared,fear
453,this boy feels anxious,fear
454,this boy feels fearful,fear
455,this boy feels happy,joy
456,this boy feels ecstatic,joy
457,this boy feels glad,joy
458,this boy feels relieved,joy
459,this boy feels excited,joy
460,my brother feels angry,anger
461,my brother feels furious,anger
462,my brother feels irritated,anger
463,my brother feels enraged,anger
464,my brother feels annoyed,anger
465,my brother feels sad,sadness
466,my brother feels depressed,sadness
467,my brother feels devastated,sadness
468,my brother feels miserable,sadness
469,my brother feels dissapointed,sadness
470,my brother feels terrified,fear
471,my brother feels discouraged,fear
472,my brother feels scared,fear
473,my brother feels anxious,fear
474,my brother feels fearful,fear
475,my brother feels happy,joy
476,my brother feels ecstatic,joy
477,my brother feels glad,joy
478,my brother feels relieved,joy
479,my brother feels excited,joy
480,my son feels angry,anger
481,my son feels furious,anger
482,my son feels irritated,anger
483,my son feels enraged,anger
484,my son feels annoyed,anger
485,my son feels sad,sadness
486,my son feels depressed,sadness
487,my son feels devastated,sadness
488,my son feels miserable,sadness
489,my son feels dissapointed,sadness
490,my son feels terrified,fear
491,my son feels discouraged,fear
492,my son feels scared,fear
493,my son feels anxious,fear
494,my son feels fearful,fear
495,my son feels happy,joy
496,my son feels ecstatic,joy
497,my son feels glad,joy
498,my son feels relieved,joy
499,my son feels excited,joy
500,my husband feels angry,anger
501,my husband feels furious,anger
502,my husband feels irritated,anger
503,my husband feels enraged,anger
504,my husband feels annoyed,anger
505,my husband feels sad,sadness
506,my husband feels depressed,sadness
507,my husband feels devastated,sadness
508,my husband feels miserable,sadness
509,my husband feels dissapointed,sadness
510,my husband feels terrified,fear
511,my husband feels discouraged,fear
512,my husband feels scared,fear
513,my husband feels anxious,fear
514,my husband feels fearful,fear
515,my husband feels happy,joy
516,my husband feels ecstatic,joy
517,my husband feels glad,joy
518,my husband feels relieved,joy
519,my husband feels excited,joy
520,my boyfriend feels angry,anger
521,my boyfriend feels furious,anger
522,my boyfriend feels irritated,anger
523,my boyfriend feels enraged,anger
524,my boyfriend feels annoyed,anger
525,my boyfriend feels sad,sadness
526,my boyfriend feels depressed,sadness
527,my boyfriend feels devastated,sadness
528,my boyfriend feels miserable,sadness
529,my boyfriend feels dissapointed,sadness
530,my boyfriend feels terrified,fear
531,my boyfriend feels discouraged,fear
532,my boyfriend feels scared,fear
533,my boyfriend feels anxious,fear
534,my boyfriend feels fearful,fear
535,my boyfriend feels happy,joy
536,my boyfriend feels ecstatic,joy
537,my boyfriend feels glad,joy
538,my boyfriend feels relieved,joy
539,my boyfriend feels excited,joy
540,my father feels angry,anger
541,my father feels furious,anger
542,my father feels irritated,anger
543,my father feels enraged,anger
544,my father feels annoyed,anger
545,my father feels sad,sadness
546,my father feels depressed,sadness
547,my father feels devastated,sadness
548,my father feels miserable,sadness
549,my father feels dissapointed,sadness
550,my father feels terrified,fear
551,my father feels discouraged,fear
552,my father feels scared,fear
553,my father feels anxious,fear
554,my father feels fearful,fear
555,my father feels happy,joy
556,my father feels ecstatic,joy
557,my father feels glad,joy
558,my father feels relieved,joy
559,my father feels excited,joy
560,my uncle feels angry,anger
561,my uncle feels furious,anger
562,my uncle feels irritated,anger
563,my uncle feels enraged,anger
564,my uncle feels annoyed,anger
565,my uncle feels sad,sadness
566,my uncle feels depressed,sadness
567,my uncle feels devastated,sadness
568,my uncle feels miserable,sadness
569,my uncle feels dissapointed,sadness
570,my uncle feels terrified,fear
571,my uncle feels discouraged,fear
572,my uncle feels scared,fear
573,my uncle feels anxious,fear
574,my uncle feels fearful,fear
575,my uncle feels happy,joy
576,my uncle feels ecstatic,joy
577,my uncle feels glad,joy
578,my uncle feels relieved,joy
579,my uncle feels excited,joy
580,my dad feels angry,anger
581,my dad feels furious,anger
582,my dad feels irritated,anger
583,my dad feels enraged,anger
584,my dad feels annoyed,anger
585,my dad feels sad,sadness
586,my dad feels depressed,sadness
587,my dad feels devastated,sadness
588,my dad feels miserable,sadness
589,my dad feels dissapointed,sadness
590,my dad feels terrified,fear
591,my dad feels discouraged,fear
592,my dad feels scared,fear
593,my dad feels anxious,fear
594,my dad feels fearful,fear
595,my dad feels happy,joy
596,my dad feels ecstatic,joy
597,my dad feels glad,joy
598,my dad feels relieved,joy
599,my dad feels excited,joy
600,nichelle feels angry,anger
601,nichelle feels furious,anger
602,nichelle feels irritated,anger
603,nichelle feels enraged,anger
604,nichelle feels annoyed,anger
605,nichelle feels sad,sadness
606,nichelle feels depressed,sadness
607,nichelle feels devastated,sadness
608,nichelle feels miserable,sadness
609,nichelle feels dissapointed,sadness
610,nichelle feels terrified,fear
611,nichelle feels discouraged,fear
612,nichelle feels scared,fear
613,nichelle feels anxious,fear
614,nichelle feels fearful,fear
615,nichelle feels happy,joy
616,nichelle feels ecstatic,joy
617,nichelle feels glad,joy
618,nichelle feels relieved,joy
619,nichelle feels excited,joy
620,shereen feels angry,anger
621,shereen feels furious,anger
622,shereen feels irritated,anger
623,shereen feels enraged,anger
624,shereen feels annoyed,anger
625,shereen feels sad,sadness
626,shereen feels depressed,sadness
627,shereen feels devastated,sadness
628,shereen feels miserable,sadness
629,shereen feels dissapointed,sadness
630,shereen feels terrified,fear
631,shereen feels discouraged,fear
632,shereen feels scared,fear
633,shereen feels anxious,fear
634,shereen feels fearful,fear
635,shereen feels happy,joy
636,shereen feels ecstatic,joy
637,shereen feels glad,joy
638,shereen feels relieved,joy
639,shereen feels excited,joy
640,ebony feels angry,anger
641,ebony feels furious,anger
642,ebony feels irritated,anger
643,ebony feels enraged,anger
644,ebony feels annoyed,anger
645,ebony feels sad,sadness
646,ebony feels depressed,sadness
647,ebony feels devastated,sadness
648,ebony feels miserable,sadness
649,ebony feels dissapointed,sadness
650,ebony feels terrified,fear
651,ebony feels discouraged,fear
652,ebony feels scared,fear
653,ebony feels anxious,fear
654,ebony feels fearful,fear
655,ebony feels happy,joy
656,ebony feels ecstatic,joy
657,ebony feels glad,joy
658,ebony feels relieved,joy
659,ebony feels excited,joy
660,latisha feels angry,anger
661,latisha feels furious,anger
662,latisha feels irritated,anger
663,latisha feels enraged,anger
664,latisha feels annoyed,anger
665,latisha feels sad,sadness
666,latisha feels depressed,sadness
667,latisha feels devastated,sadness
668,latisha feels miserable,sadness
669,latisha feels dissapointed,sadness
670,latisha feels terrified,fear
671,latisha feels discouraged,fear
672,latisha feels scared,fear
673,latisha feels anxious,fear
674,latisha feels fearful,fear
675,latisha feels happy,joy
676,latisha feels ecstatic,joy
677,latisha feels glad,joy
678,latisha feels relieved,joy
679,latisha feels excited,joy
680,shaniqua feels angry,anger
681,shaniqua feels furious,anger
682,shaniqua feels irritated,anger
683,shaniqua feels enraged,anger
684,shaniqua feels annoyed,anger
685,shaniqua feels sad,sadness
686,shaniqua feels depressed,sadness
687,shaniqua feels devastated,sadness
688,shaniqua feels miserable,sadness
689,shaniqua feels dissapointed,sadness
690,shaniqua feels terrified,fear
691,shaniqua feels discouraged,fear
692,shaniqua feels scared,fear
693,shaniqua feels anxious,fear
694,shaniqua feels fearful,fear
695,shaniqua feels happy,joy
696,shaniqua feels ecstatic,joy
697,shaniqua feels glad,joy
698,shaniqua feels relieved,joy
699,shaniqua feels excited,joy
700,jasmine feels angry,anger
701,jasmine feels furious,anger
702,jasmine feels irritated,anger
703,jasmine feels enraged,anger
704,jasmine feels annoyed,anger
705,jasmine feels sad,sadness
706,jasmine feels depressed,sadness
707,jasmine feels devastated,sadness
708,jasmine feels miserable,sadness
709,jasmine feels dissapointed,sadness
710,jasmine feels terrified,fear
711,jasmine feels discouraged,fear
712,jasmine feels scared,fear
713,jasmine feels anxious,fear
714,jasmine feels fearful,fear
715,jasmine feels happy,joy
716,jasmine feels ecstatic,joy
717,jasmine feels glad,joy
718,jasmine feels relieved,joy
719,jasmine feels excited,joy
720,tanisha feels angry,anger
721,tanisha feels furious,anger
722,tanisha feels irritated,anger
723,tanisha feels enraged,anger
724,tanisha feels annoyed,anger
725,tanisha feels sad,sadness
726,tanisha feels depressed,sadness
727,tanisha feels devastated,sadness
728,tanisha feels miserable,sadness
729,tanisha feels dissapointed,sadness
730,tanisha feels terrified,fear
731,tanisha feels discouraged,fear
732,tanisha feels scared,fear
733,tanisha feels anxious,fear
734,tanisha feels fearful,fear
735,tanisha feels happy,joy
736,tanisha feels ecstatic,joy
737,tanisha feels glad,joy
738,tanisha feels relieved,joy
739,tanisha feels excited,joy
740,tia feels angry,anger
741,tia feels furious,anger
742,tia feels irritated,anger
743,tia feels enraged,anger
744,tia feels annoyed,anger
745,tia feels sad,sadness
746,tia feels depressed,sadness
747,tia feels devastated,sadness
748,tia feels miserable,sadness
749,tia feels dissapointed,sadness
750,tia feels terrified,fear
751,tia feels discouraged,fear
752,tia feels scared,fear
753,tia feels anxious,fear
754,tia feels fearful,fear
755,tia feels happy,joy
756,tia feels ecstatic,joy
757,tia feels glad,joy
758,tia feels relieved,joy
759,tia feels excited,joy
760,lakisha feels angry,anger
761,lakisha feels furious,anger
762,lakisha feels irritated,anger
763,lakisha feels enraged,anger
764,lakisha feels annoyed,anger
765,lakisha feels sad,sadness
766,lakisha feels depressed,sadness
767,lakisha feels devastated,sadness
768,lakisha feels miserable,sadness
769,lakisha feels dissapointed,sadness
770,lakisha feels terrified,fear
771,lakisha feels discouraged,fear
772,lakisha feels scared,fear
773,lakisha feels anxious,fear
774,lakisha feels fearful,fear
775,lakisha feels happy,joy
776,lakisha feels ecstatic,joy
777,lakisha feels glad,joy
778,lakisha feels relieved,joy
779,lakisha feels excited,joy
780,latoya feels angry,anger
781,latoya feels furious,anger
782,latoya feels irritated,anger
783,latoya feels enraged,anger
784,latoya feels annoyed,anger
785,latoya feels sad,sadness
786,latoya feels depressed,sadness
787,latoya feels devastated,sadness
788,latoya feels miserable,sadness
789,latoya feels dissapointed,sadness
790,latoya feels terrified,fear
791,latoya feels discouraged,fear
792,latoya feels scared,fear
793,latoya feels anxious,fear
794,latoya feels fearful,fear
795,latoya feels happy,joy
796,latoya feels ecstatic,joy
797,latoya feels glad,joy
798,latoya feels relieved,joy
799,latoya feels excited,joy
800,amanda feels angry,anger
801,amanda feels furious,anger
802,amanda feels irritated,anger
803,amanda feels enraged,anger
804,amanda feels annoyed,anger
805,amanda feels sad,sadness
806,amanda feels depressed,sadness
807,amanda feels devastated,sadness
808,amanda feels miserable,sadness
809,amanda feels dissapointed,sadness
810,amanda feels terrified,fear
811,amanda feels discouraged,fear
812,amanda feels scared,fear
813,amanda feels anxious,fear
814,amanda feels fearful,fear
815,amanda feels happy,joy
816,amanda feels ecstatic,joy
817,amanda feels glad,joy
818,amanda feels relieved,joy
819,amanda feels excited,joy
820,courtney feels angry,anger
821,courtney feels furious,anger
822,courtney feels irritated,anger
823,courtney feels enraged,anger
824,courtney feels annoyed,anger
825,courtney feels sad,sadness
826,courtney feels depressed,sadness
827,courtney feels devastated,sadness
828,courtney feels miserable,sadness
829,courtney feels dissapointed,sadness
830,courtney feels terrified,fear
831,courtney feels discouraged,fear
832,courtney feels scared,fear
833,courtney feels anxious,fear
834,courtney feels fearful,fear
835,courtney feels happy,joy
836,courtney feels ecstatic,joy
837,courtney feels glad,joy
838,courtney feels relieved,joy
839,courtney feels excited,joy
840,heather feels angry,anger
841,heather feels furious,anger
842,heather feels irritated,anger
843,heather feels enraged,anger
844,heather feels annoyed,anger
845,heather feels sad,sadness
846,heather feels depressed,sadness
847,heather feels devastated,sadness
848,heather feels miserable,sadness
849,heather feels dissapointed,sadness
850,heather feels terrified,fear
851,heather feels discouraged,fear
852,heather feels scared,fear
853,heather feels anxious,fear
854,heather feels fearful,fear
855,heather feels happy,joy
856,heather feels ecstatic,joy
857,heather feels glad,joy
858,heather feels relieved,joy
859,heather feels excited,joy
860,melanie feels angry,anger
861,melanie feels furious,anger
862,melanie feels irritated,anger
863,melanie feels enraged,anger
864,melanie feels annoyed,anger
865,melanie feels sad,sadness
866,melanie feels depressed,sadness
867,melanie feels devastated,sadness
868,melanie feels miserable,sadness
869,melanie feels dissapointed,sadness
870,melanie feels terrified,fear
871,melanie feels discouraged,fear
872,melanie feels scared,fear
873,melanie feels anxious,fear
874,melanie feels fearful,fear
875,melanie feels happy,joy
876,melanie feels ecstatic,joy
877,melanie feels glad,joy
878,melanie feels relieved,joy
879,melanie feels excited,joy
880,katie feels angry,anger
881,katie feels furious,anger
882,katie feels irritated,anger
883,katie feels enraged,anger
884,katie feels annoyed,anger
885,katie feels sad,sadness
886,katie feels depressed,sadness
887,katie feels devastated,sadness
888,katie feels miserable,sadness
889,katie feels dissapointed,sadness
890,katie feels terrified,fear
891,katie feels discouraged,fear
892,katie feels scared,fear
893,katie feels anxious,fear
894,katie feels fearful,fear
895,katie feels happy,joy
896,katie feels ecstatic,joy
897,katie feels glad,joy
898,katie feels relieved,joy
899,katie feels excited,joy
900,betsy feels angry,anger
901,betsy feels furious,anger
902,betsy feels irritated,anger
903,betsy feels enraged,anger
904,betsy feels annoyed,anger
905,betsy feels sad,sadness
906,betsy feels depressed,sadness
907,betsy feels devastated,sadness
908,betsy feels miserable,sadness
909,betsy feels dissapointed,sadness
910,betsy feels terrified,fear
911,betsy feels discouraged,fear
912,betsy feels scared,fear
913,betsy feels anxious,fear
914,betsy feels fearful,fear
915,betsy feels happy,joy
916,betsy feels ecstatic,joy
917,betsy feels glad,joy
918,betsy feels relieved,joy
919,betsy feels excited,joy
920,kristin feels angry,anger
921,kristin feels furious,anger
922,kristin feels irritated,anger
923,kristin feels enraged,anger
924,kristin feels annoyed,anger
925,kristin feels sad,sadness
926,kristin feels depressed,sadness
927,kristin feels devastated,sadness
928,kristin feels miserable,sadness
929,kristin feels dissapointed,sadness
930,kristin feels terrified,fear
931,kristin feels discouraged,fear
932,kristin feels scared,fear
933,kristin feels anxious,fear
934,kristin feels fearful,fear
935,kristin feels happy,joy
936,kristin feels ecstatic,joy
937,kristin feels glad,joy
938,kristin feels relieved,joy
939,kristin feels excited,joy
940,nancy feels angry,anger
941,nancy feels furious,anger
942,nancy feels irritated,anger
943,nancy feels enraged,anger
944,nancy feels annoyed,anger
945,nancy feels sad,sadness
946,nancy feels depressed,sadness
947,nancy feels devastated,sadness
948,nancy feels miserable,sadness
949,nancy feels dissapointed,sadness
950,nancy feels terrified,fear
951,nancy feels discouraged,fear
952,nancy feels scared,fear
953,nancy feels anxious,fear
954,nancy feels fearful,fear
955,nancy feels happy,joy
956,nancy feels ecstatic,joy
957,nancy feels glad,joy
958,nancy feels relieved,joy
959,nancy feels excited,joy
960,stephanie feels angry,anger
961,stephanie feels furious,anger
962,stephanie feels irritated,anger
963,stephanie feels enraged,anger
964,stephanie feels annoyed,anger
965,stephanie feels sad,sadness
966,stephanie feels depressed,sadness
967,stephanie feels devastated,sadness
968,stephanie feels miserable,sadness
969,stephanie feels dissapointed,sadness
970,stephanie feels terrified,fear
971,stephanie feels discouraged,fear
972,stephanie feels scared,fear
973,stephanie feels anxious,fear
974,stephanie feels fearful,fear
975,stephanie feels happy,joy
976,stephanie feels ecstatic,joy
977,stephanie feels glad,joy
978,stephanie feels relieved,joy
979,stephanie feels excited,joy
980,ellen feels angry,anger
981,ellen feels furious,anger
982,ellen feels irritated,anger
983,ellen feels enraged,anger
984,ellen feels annoyed,anger
985,ellen feels sad,sadness
986,ellen feels depressed,sadness
987,ellen feels devastated,sadness
988,ellen feels miserable,sadness
989,ellen feels dissapointed,sadness
