PetID,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
525,Bird,Parakeet,130,Gray,Small,1.4168156015555518,1,0,25,189,0,0
526,Cat,Persian,172,Orange,Large,2.4358662613665123,1,0,28,72,0,0
527,Rabbit,Rabbit,2,Black,Large,18.38139902693828,1,1,84,172,0,0
528,Rabbit,Rabbit,102,Black,Medium,10.90856264073517,0,0,39,34,0,0
529,Rabbit,Rabbit,35,Brown,Large,28.646174793827857,0,1,67,209,0,0
530,Bird,Parakeet,98,Brown,Medium,27.192530030960786,1,0,5,297,0,1
531,Cat,Persian,30,Black,Large,21.69748150162451,1,1,65,132,0,0
532,Bird,Parakeet,116,Orange,Small,24.72622185270624,1,0,15,282,1,0
533,Cat,Siamese,8,Black,Small,20.352623640363106,1,0,67,197,0,1
534,Rabbit,Rabbit,150,Brown,Large,4.64188097859466,1,0,40,445,0,0
535,Bird,Parakeet,44,Black,Large,23.20075772098688,0,0,69,31,1,0
536,Rabbit,Rabbit,36,Black,Small,7.095567092846545,1,0,77,135,1,0
537,Rabbit,Rabbit,77,Orange,Large,10.379842797905706,0,0,43,247,0,0
538,Dog,Golden Retriever,31,Gray,Medium,24.757792150970186,1,0,1,358,0,1
539,Dog,Golden Retriever,47,Brown,Medium,16.55924264341,0,0,22,340,1,0
540,Bird,Parakeet,55,Orange,Medium,25.938280711318868,1,0,62,145,0,1
541,Dog,Labrador,106,Black,Medium,7.1780242754546615,0,0,79,333,1,1
542,Bird,Parakeet,158,Black,Medium,18.62557471959973,1,0,26,142,0,1
543,Cat,Persian,121,Gray,Large,3.429938203899587,1,1,18,233,0,0
544,Dog,Poodle,55,Brown,Large,19.64876881266086,1,0,48,409,0,0
545,Cat,Persian,144,Brown,Medium,23.11348709549051,1,0,9,436,1,1
546,Dog,Poodle,12,White,Large,17.962995925382927,1,1,1,43,1,0
547,Dog,Poodle,145,Brown,Large,8.720713543465497,1,0,9,31,0,0
548,Rabbit,Rabbit,144,Gray,Medium,1.9089373969071348,1,0,23,230,0,1
549,Rabbit,Rabbit,140,White,Large,4.4640176349642875,0,0,45,27,0,0
550,Bird,Parakeet,136,White,Large,19.04678639314676,1,0,2,422,0,0
551,Rabbit,Rabbit,3,Black,Large,28.0981862884329,0,0,14,490,1,0
552,Bird,Parakeet,144,Black,Medium,6.989497715188185,0,0,38,159,0,0
553,Rabbit,Rabbit,30,Brown,Large,22.315758324047863,1,0,40,332,1,0
554,Dog,Golden Retriever,23,White,Small,26.127080834222205,1,0,63,206,0,1
555,Bird,Parakeet,92,Black,Small,16.10558317497782,1,0,82,17,1,0
556,Cat,Siamese,115,Gray,Medium,20.408708079466074,1,1,16,102,1,0
557,Rabbit,Rabbit,104,Black,Small,24.635444183608296,0,0,75,69,0,0
558,Cat,Persian,118,Black,Medium,8.559579574477214,0,1,6,118,0,0
559,Rabbit,Rabbit,5,White,Small,9.609974553773247,1,1,3,138,0,0
560,Cat,Persian,104,White,Small,1.018197982225229,1,0,14,159,0,0
561,Cat,Persian,108,Orange,Small,28.929729796036273,0,0,66,231,0,0
562,Cat,Persian,65,Gray,Medium,27.608801943294,1,0,75,147,0,1
563,Cat,Siamese,121,White,Medium,23.17247964902348,1,1,86,352,1,0
564,Bird,Parakeet,30,Brown,Large,3.2932046083227955,1,0,67,423,0,0
565,Cat,Persian,149,Gray,Medium,13.977583801285736,1,1,31,391,1,0
566,Rabbit,Rabbit,84,Gray,Small,3.9548608651750317,1,0,33,242,1,0
567,Cat,Persian,150,White,Small,1.4616877506211594,1,0,88,34,1,0
568,Cat,Persian,32,Gray,Medium,18.869305991165323,0,0,1,324,0,0
569,Cat,Siamese,161,White,Medium,28.864053095325463,1,0,44,381,0,1
570,Rabbit,Rabbit,16,Black,Medium,27.183172679532355,1,0,15,354,0,1
571,Bird,Parakeet,38,Orange,Large,21.205889633126727,0,0,37,238,0,0
572,Rabbit,Rabbit,142,Black,Small,3.8025769407812713,1,0,27,333,0,0
573,Cat,Siamese,36,White,Large,8.950757092496705,1,0,48,148,1,0
574,Rabbit,Rabbit,151,White,Large,10.281645079673439,1,1,27,110,0,0
575,Dog,Poodle,114,Black,Small,23.131351674621275,0,1,12,407,0,0
576,Rabbit,Rabbit,66,Brown,Small,24.265226197818308,1,0,67,16,1,0
577,Dog,Labrador,105,Brown,Medium,12.168077566707693,1,0,30,401,0,1
578,Cat,Siamese,85,Brown,Medium,13.11863590191068,0,0,87,225,0,0
579,Dog,Poodle,2,White,Large,2.2907621390089687,1,0,66,139,1,1
580,Dog,Labrador,75,Gray,Medium,9.384964834144068,1,0,7,143,0,1
581,Dog,Labrador,67,White,Medium,14.087270138151558,1,0,34,259,0,1
582,Bird,Parakeet,151,Gray,Small,4.39250834517247,0,1,32,216,0,0
583,Dog,Labrador,154,Black,Small,14.144756361895618,1,1,39,161,1,0
584,Dog,Golden Retriever,55,Orange,Medium,25.74209855547621,1,0,43,91,0,1
585,Dog,Labrador,6,Gray,Small,17.858309572026545,1,0,43,173,0,1
586,Rabbit,Rabbit,163,Brown,Medium,3.288965796113957,1,0,78,330,0,1
587,Rabbit,Rabbit,150,White,Small,6.558468246077956,1,0,3,204,0,0
588,Rabbit,Rabbit,171,Black,Small,14.76178615459813,0,0,46,414,0,0
589,Bird,Parakeet,143,Brown,Small,11.48312734483255,1,0,32,152,0,0
590,Bird,Parakeet,86,Black,Small,11.403083566836864,1,0,43,102,0,0
591,Bird,Parakeet,60,Orange,Medium,16.348755996164115,1,1,81,201,0,0
592,Dog,Golden Retriever,101,White,Large,17.947481726094264,0,0,3,279,0,0
593,Bird,Parakeet,12,White,Small,24.10898553800954,1,1,74,64,0,0
594,Dog,Golden Retriever,49,Orange,Medium,10.888030340412055,1,1,63,116,0,0
595,Dog,Poodle,42,White,Medium,24.358522208177018,1,1,40,152,0,0
596,Bird,Parakeet,166,Gray,Small,10.819725644266343,0,0,18,155,0,0
597,Cat,Siamese,82,Black,Large,2.607556679295781,0,0,67,163,1,0
598,Rabbit,Rabbit,173,Brown,Small,17.071441879138945,0,0,62,81,1,0
599,Bird,Parakeet,35,Orange,Medium,18.049167421949623,1,0,10,5,0,1
600,Dog,Poodle,158,Gray,Large,28.101667123033945,0,0,52,321,0,0
601,Dog,Golden Retriever,158,Brown,Medium,22.055778455811758,0,0,73,66,0,0
602,Bird,Parakeet,134,Brown,Small,27.615406922338746,0,0,46,237,0,0
603,Cat,Persian,67,Orange,Large,27.34206909704728,1,0,55,71,0,0
604,Dog,Golden Retriever,80,Gray,Medium,18.53264919748902,0,1,46,94,0,0
605,Rabbit,Rabbit,7,Brown,Medium,16.305099894756978,1,0,75,303,1,1
606,Rabbit,Rabbit,14,Brown,Medium,17.165788047744396,0,0,60,466,0,1
607,Cat,Siamese,73,Gray,Small,29.371593422640185,1,0,26,497,0,0
608,Bird,Parakeet,143,White,Large,23.421863060661806,1,0,27,325,1,0
609,Dog,Golden Retriever,149,Brown,Small,4.081711238979479,1,0,38,77,0,0
610,Dog,Golden Retriever,163,Black,Small,23.574423796660597,1,0,22,66,0,0
611,Cat,Siamese,66,Gray,Small,5.945603418048551,1,0,26,175,1,0
612,Dog,Labrador,91,Brown,Large,13.973165921163144,1,0,86,320,1,1
613,Cat,Siamese,130,Orange,Small,7.103330493119494,1,0,69,171,1,0
614,Bird,Parakeet,163,Black,Small,20.997908900463663,1,0,35,477,0,0
615,Cat,Siamese,20,Brown,Small,26.441982349598035,1,0,66,254,0,1
616,Bird,Parakeet,10,Black,Small,9.420494675633748,1,0,73,62,1,1
617,Dog,Golden Retriever,25,Black,Medium,3.3783114950374413,1,0,51,301,0,1
618,Bird,Parakeet,25,White,Small,9.656299844173935,1,1,18,402,1,0
619,Cat,Persian,54,Black,Medium,20.49849388003364,1,1,43,245,0,0
620,Rabbit,Rabbit,33,White,Small,10.534043699079048,0,0,12,191,0,0
621,Dog,Golden Retriever,164,Gray,Large,9.0652528590603,0,0,3,466,1,0
622,Bird,Parakeet,95,White,Medium,6.348620526943684,1,0,82,328,0,1
623,Rabbit,Rabbit,14,Orange,Medium,15.427976379358572,0,0,7,70,0,1
624,Bird,Parakeet,65,Brown,Medium,9.00251601655844,1,0,6,365,0,1
625,Dog,Labrador,110,Gray,Medium,22.19930012504501,0,0,82,228,0,1
626,Rabbit,Rabbit,80,Gray,Large,3.2220496577738786,1,0,45,433,0,0
627,Rabbit,Rabbit,54,Orange,Small,20.25695796022821,1,0,86,62,0,0
628,Cat,Siamese,125,White,Medium,7.889240422465326,1,0,39,296,0,1
629,Bird,Parakeet,131,Brown,Large,15.18909857049649,1,0,51,244,1,0
630,Bird,Parakeet,169,White,Medium,9.296607738906557,0,0,9,6,0,0
631,Dog,Golden Retriever,134,Black,Small,21.960291604313074,0,0,23,392,1,0
632,Bird,Parakeet,25,White,Medium,28.413904167297463,1,0,12,259,0,1
633,Dog,Labrador,141,Gray,Large,27.595226604624585,1,0,88,88,0,1
634,Rabbit,Rabbit,117,Brown,Small,17.91936023917864,1,0,62,176,0,0
635,Bird,Parakeet,136,White,Large,14.415698794452373,1,0,73,203,1,0
636,Bird,Parakeet,149,Brown,Small,24.730714773742072,1,0,77,133,1,0
637,Bird,Parakeet,25,Brown,Small,20.816464516204167,1,0,40,81,1,0
638,Cat,Persian,79,Black,Small,6.323359312291053,1,0,54,487,0,0
639,Cat,Persian,68,Black,Medium,24.806657194777006,0,0,81,20,0,0
640,Dog,Poodle,173,Gray,Large,13.437647292446595,1,0,7,398,1,0
641,Dog,Labrador,12,Orange,Large,6.480584139164078,1,0,17,127,1,1
642,Cat,Persian,32,Brown,Large,9.17212316149828,0,1,50,194,1,0
643,Rabbit,Rabbit,128,Orange,Small,8.758283877201928,1,1,24,193,0,0
644,Rabbit,Rabbit,96,Gray,Medium,16.057002263500344,0,0,2,183,1,0
645,Rabbit,Rabbit,92,Brown,Small,7.79673262965839,1,1,83,246,0,0
646,Rabbit,Rabbit,141,Brown,Large,4.583428134645709,1,0,33,360,0,0
647,Cat,Persian,31,Orange,Medium,4.587034667799061,1,0,21,359,0,1
648,Bird,Parakeet,78,White,Medium,17.9150097170338,1,0,74,323,0,1
649,Rabbit,Rabbit,20,Black,Medium,22.30801937663198,1,1,53,159,1,1
650,Cat,Siamese,146,White,Large,10.324457256311883,1,0,46,193,1,0
651,Rabbit,Rabbit,60,Orange,Medium,2.004870584606495,1,1,45,109,1,0
652,Dog,Golden Retriever,134,Black,Medium,4.689521721173311,1,0,9,412,0,1
653,Cat,Siamese,160,White,Small,27.526142249774654,1,0,6,65,0,0
654,Dog,Labrador,93,Black,Small,15.312766128094138,1,0,51,417,1,1
655,Bird,Parakeet,43,Brown,Medium,14.153611478840068,0,0,35,253,0,0
656,Cat,Siamese,130,White,Medium,2.1034261709926367,1,0,82,282,1,1
657,Rabbit,Rabbit,60,Black,Small,22.130473647190072,0,0,53,59,0,0
658,Dog,Labrador,151,Black,Small,16.31397434703029,0,0,19,117,0,0
659,Bird,Parakeet,31,Black,Small,6.860347146509103,1,0,69,422,0,0
660,Bird,Parakeet,5,White,Large,4.192139045250658,0,0,25,43,1,0
661,Cat,Persian,162,Gray,Large,12.118248045327956,1,1,11,485,0,0
662,Bird,Parakeet,10,White,Small,25.277696961655742,1,0,74,209,0,1
663,Dog,Poodle,89,Orange,Medium,26.09354221682971,1,0,17,35,1,1
664,Dog,Labrador,130,White,Small,18.482545031473457,1,0,36,18,0,1
665,Bird,Parakeet,126,Black,Large,22.098556389674137,1,0,21,90,1,0
666,Cat,Persian,11,Brown,Medium,4.339517834683241,0,1,18,300,0,0
667,Rabbit,Rabbit,178,White,Large,18.05565589856779,1,1,60,211,0,0
668,Bird,Parakeet,159,White,Medium,20.342005401128272,1,0,18,404,1,1
669,Bird,Parakeet,56,Black,Large,6.820672444499974,1,0,1,406,0,0
670,Cat,Persian,83,Brown,Medium,26.52448725439751,1,1,14,221,0,0
671,Rabbit,Rabbit,137,Brown,Medium,6.654905388109573,1,1,8,216,0,0
672,Rabbit,Rabbit,99,Orange,Medium,10.090843435547063,1,1,66,222,0,0
673,Dog,Labrador,149,White,Medium,18.9961485636803,1,1,51,410,0,1
674,Cat,Siamese,73,Brown,Large,19.51215188879119,0,0,79,97,0,0
675,Cat,Persian,156,Brown,Large,21.28215748863365,1,0,60,455,1,0
676,Rabbit,Rabbit,115,Gray,Medium,4.248339678977965,1,0,34,18,1,1
677,Cat,Siamese,7,Gray,Medium,25.634468467928105,0,0,36,296,0,1
678,Cat,Siamese,80,Brown,Large,16.452566836214537,1,0,62,25,0,0
679,Dog,Labrador,144,Orange,Medium,14.668332029046983,1,0,1,27,0,1
680,Dog,Labrador,97,Brown,Medium,29.451831110891778,1,0,85,63,0,1
681,Bird,Parakeet,4,Black,Medium,22.470970611289573,0,0,42,323,0,1
682,Dog,Poodle,4,White,Small,4.422174771961871,1,0,1,222,0,1
683,Cat,Persian,103,Orange,Medium,22.93963584956098,0,0,84,79,0,0
684,Cat,Siamese,40,Black,Small,3.762219085213215,1,0,54,50,0,0
685,Dog,Labrador,17,Orange,Medium,1.7966463128765606,0,1,47,457,0,1
686,Dog,Golden Retriever,101,Black,Large,12.705150962827016,1,1,39,101,1,0
687,Cat,Persian,103,White,Small,29.813767011757342,1,0,30,175,1,0
688,Dog,Poodle,124,White,Small,6.071634149651016,1,0,7,9,0,0
689,Rabbit,Rabbit,52,Gray,Medium,20.50668596227691,0,0,22,236,1,0
690,Cat,Persian,52,Black,Medium,6.028485919977461,1,0,50,456,0,1
691,Bird,Parakeet,164,Gray,Small,22.018822273793194,1,0,45,422,1,0
692,Rabbit,Rabbit,124,Black,Large,15.655256378896958,1,0,74,99,0,0
693,Bird,Parakeet,166,Gray,Large,20.719179592591914,1,1,72,498,1,0
694,Bird,Parakeet,178,White,Medium,6.883322101512803,1,0,10,377,0,1
695,Rabbit,Rabbit,63,Orange,Large,22.623221643094556,1,0,14,227,0,0
696,Bird,Parakeet,116,Gray,Large,29.872952729058493,0,0,46,402,0,0
697,Dog,Golden Retriever,62,Black,Medium,20.30386451815283,0,0,75,63,0,0
698,Cat,Persian,7,Black,Large,15.310919944113452,1,0,6,379,0,1
699,Dog,Poodle,155,White,Medium,27.77204566995868,0,1,21,18,0,0
700,Cat,Persian,92,Black,Small,1.4597034247244127,1,0,62,331,1,0
701,Bird,Parakeet,14,Brown,Medium,22.16778205928881,1,0,19,317,0,1
702,Bird,Parakeet,86,Orange,Small,26.773648987600573,1,0,88,140,0,0
703,Rabbit,Rabbit,133,Gray,Small,2.788562925007766,0,0,82,24,0,0
704,Rabbit,Rabbit,130,Orange,Large,14.051860942056987,0,0,62,227,1,0
705,Dog,Labrador,62,White,Large,6.936864164549968,1,0,83,88,1,1
706,Rabbit,Rabbit,149,Gray,Large,17.429026802047073,1,0,53,91,1,0
707,Bird,Parakeet,79,Gray,Medium,19.836745799506154,1,0,24,41,0,1
708,Cat,Persian,149,Brown,Large,9.776072304933896,0,1,56,372,0,0
709,Dog,Golden Retriever,138,White,Small,14.339468420664923,0,0,62,294,0,0
710,Rabbit,Rabbit,58,Black,Large,9.100845073020226,0,0,34,413,0,0
711,Rabbit,Rabbit,120,Brown,Large,11.712343769198299,1,0,22,388,0,0
712,Bird,Parakeet,167,Brown,Medium,5.626658743964284,0,0,68,80,0,0
713,Rabbit,Rabbit,133,Orange,Medium,26.681223863983313,0,0,57,401,0,0
714,Bird,Parakeet,65,Orange,Small,1.2903019062149563,0,0,10,106,0,0
715,Cat,Siamese,13,Orange,Medium,26.589866406869866,1,0,66,110,0,1
716,Bird,Parakeet,82,Brown,Large,17.578687472142416,1,0,8,276,1,0
717,Bird,Parakeet,173,Black,Medium,10.618077481133508,1,0,38,213,0,1
718,Rabbit,Rabbit,160,Gray,Small,21.96865663834956,0,0,62,230,1,0
719,Rabbit,Rabbit,164,Orange,Large,15.724812404017266,1,0,28,305,0,0
720,Bird,Parakeet,139,Black,Small,15.474151085120589,1,0,10,120,0,0
721,Rabbit,Rabbit,149,White,Medium,4.1941262046500265,0,1,45,133,0,0
722,Dog,Labrador,52,Orange,Medium,12.295964752416852,0,0,65,305,1,1
723,Rabbit,Rabbit,117,Gray,Small,7.990866029845362,1,0,67,207,0,0
724,Rabbit,Rabbit,26,White,Large,1.4551812622921099,0,0,9,449,1,0
725,Bird,Parakeet,34,White,Medium,11.442889292681285,0,0,5,370,0,0
726,Cat,Persian,52,Gray,Medium,3.6048417533425376,1,0,10,256,0,1
727,Dog,Golden Retriever,112,Orange,Large,8.448071094030372,1,1,12,184,1,0
728,Rabbit,Rabbit,82,Brown,Medium,3.682982014309739,1,0,82,285,0,1
729,Dog,Labrador,157,Gray,Small,3.9273071411355667,1,1,58,441,1,0
730,Cat,Siamese,166,Gray,Medium,6.77132753804046,1,0,21,362,0,1
731,Bird,Parakeet,42,Gray,Medium,29.995628090105605,1,0,21,179,0,1
732,Cat,Persian,21,White,Large,1.0633401428602145,0,0,65,420,1,0
733,Bird,Parakeet,42,Black,Small,19.521506447491753,1,0,3,47,1,0
734,Bird,Parakeet,141,Brown,Large,5.096067242770163,0,0,69,86,0,0
735,Rabbit,Rabbit,113,Orange,Medium,27.698215964612498,1,1,89,384,1,0
736,Rabbit,Rabbit,105,Orange,Medium,3.7153539066752477,1,0,64,18,0,1
737,Cat,Persian,17,Black,Large,28.69683242666086,1,1,49,45,1,0
738,Dog,Labrador,120,Gray,Large,18.716865237020862,1,1,72,450,0,0
739,Cat,Siamese,137,Brown,Large,1.0367742305492171,1,1,17,385,0,0
740,Rabbit,Rabbit,169,Orange,Small,26.926208739587377,1,0,73,55,0,0
741,Cat,Persian,129,Orange,Medium,16.12964223964063,1,0,32,228,0,1
742,Dog,Labrador,130,Gray,Large,8.617422324584052,1,0,70,144,0,1
743,Rabbit,Rabbit,60,Black,Medium,23.251096147953273,1,0,21,91,0,1
744,Bird,Parakeet,48,Brown,Small,27.87330106271923,1,0,7,81,0,0
745,Bird,Parakeet,29,Black,Small,15.027033871257023,1,0,7,224,1,0
746,Dog,Labrador,97,Black,Small,10.151050758850216,1,0,27,78,0,1
747,Bird,Parakeet,10,Brown,Small,23.879408594112878,0,1,8,149,0,0
748,Bird,Parakeet,58,Brown,Medium,20.771779435865184,1,1,73,360,0,0
749,Rabbit,Rabbit,21,Orange,Small,26.7738220287579,1,0,28,282,1,1
750,Rabbit,Rabbit,28,Orange,Small,21.082906370074596,1,0,79,310,0,0
751,Bird,Parakeet,34,Brown,Large,8.062321828086553,1,0,66,484,0,0
752,Rabbit,Rabbit,8,White,Small,28.018118243011553,1,0,71,159,0,1
753,Rabbit,Rabbit,177,Orange,Large,4.040236668973748,0,0,47,315,0,0
754,Cat,Persian,79,White,Small,8.770339753098588,0,0,82,364,0,0
755,Dog,Golden Retriever,145,Brown,Small,16.08564362399268,1,0,86,466,0,0
756,Dog,Poodle,87,Orange,Large,17.40651875605614,0,0,10,155,0,0
757,Rabbit,Rabbit,88,Black,Small,1.4440070121802575,1,0,33,155,0,0
758,Rabbit,Rabbit,173,Brown,Medium,23.63660904880726,1,0,7,375,0,1
759,Cat,Siamese,69,Gray,Medium,11.486612234336295,1,1,3,201,0,0
760,Rabbit,Rabbit,160,White,Small,12.786137689061997,1,0,14,467,0,0
761,Cat,Siamese,172,Brown,Medium,24.471716788671426,0,0,44,408,1,0
762,Bird,Parakeet,87,Brown,Large,11.999218360098793,1,0,46,340,1,0
763,Dog,Labrador,101,Orange,Small,2.36952141834789,1,0,61,461,0,1
764,Cat,Persian,8,Orange,Small,6.116753343640159,1,0,36,341,0,1
765,Cat,Persian,77,Orange,Large,28.72119199925729,0,0,13,116,0,0
766,Cat,Persian,87,Gray,Large,3.0417555096729108,1,0,16,153,0,0
767,Bird,Parakeet,43,Orange,Large,11.29300482807247,0,0,80,363,0,0
768,Rabbit,Rabbit,129,Brown,Small,15.592195844488993,1,0,5,330,0,0
769,Dog,Labrador,109,Orange,Large,15.305143992818241,0,0,89,118,1,0
770,Rabbit,Rabbit,179,Black,Large,1.1148383473521397,0,0,38,198,1,0
771,Dog,Labrador,152,Orange,Medium,15.53371921226722,0,0,50,400,0,1
772,Cat,Siamese,152,Gray,Medium,12.129401281344867,1,0,38,465,0,1
773,Rabbit,Rabbit,17,Black,Small,29.190300728762157,1,1,56,262,1,0
774,Rabbit,Rabbit,133,Brown,Medium,5.615613435821065,1,1,63,183,1,0
775,Rabbit,Rabbit,148,Brown,Medium,11.270471706025354,1,0,48,447,1,1
776,Rabbit,Rabbit,21,White,Large,13.164963067604774,1,1,59,147,0,0
777,Rabbit,Rabbit,58,Black,Large,12.330112575927515,1,0,77,165,0,0
778,Bird,Parakeet,159,White,Medium,20.309094001904015,1,1,44,74,0,0
779,Bird,Parakeet,110,Black,Medium,7.249872868885296,0,0,55,235,0,0
780,Dog,Labrador,139,Black,Medium,7.411075031605763,1,0,55,313,0,1
781,Rabbit,Rabbit,143,Gray,Small,22.14711750652474,1,1,1,271,0,0
782,Rabbit,Rabbit,135,White,Small,15.50842504166721,1,0,8,178,1,0
783,Bird,Parakeet,28,Gray,Small,13.039514605662001,1,0,4,282,1,0
784,Bird,Parakeet,51,Black,Medium,5.906888498640303,0,0,85,50,0,0
785,Cat,Siamese,5,Brown,Medium,6.438289464452832,0,0,86,74,1,1
786,Cat,Persian,5,Black,Small,1.3059974676611157,1,0,53,143,0,1
787,Cat,Persian,94,Gray,Small,3.6513617969895678,0,0,58,342,1,0
788,Cat,Siamese,96,White,Medium,17.14832214601699,0,1,37,187,0,0
789,Bird,Parakeet,8,White,Large,26.864320770243886,0,0,49,122,0,0
790,Cat,Persian,64,Gray,Small,9.327778188786166,1,1,67,331,0,0
791,Bird,Parakeet,138,White,Medium,10.504669550987716,0,1,19,250,0,0
792,Bird,Parakeet,38,Orange,Medium,4.352562707733854,1,0,1,295,0,1
793,Cat,Siamese,111,Brown,Large,12.27029742260598,1,0,29,322,0,0
794,Cat,Siamese,112,Brown,Medium,2.079429432510546,1,1,87,129,1,0
795,Rabbit,Rabbit,81,Brown,Medium,27.610420191595107,0,0,33,251,0,0
796,Bird,Parakeet,136,White,Small,20.52022909561133,1,0,52,357,0,0
797,Rabbit,Rabbit,104,White,Small,29.731715472403348,1,0,41,431,0,0
798,Dog,Labrador,153,Black,Large,26.601871717676318,1,0,23,179,0,1
799,Rabbit,Rabbit,73,Black,Large,14.716727217246428,1,0,5,407,0,0
800,Dog,Golden Retriever,178,Brown,Medium,16.070865903360932,1,0,71,348,1,1
801,Rabbit,Rabbit,49,Orange,Small,6.526705348998622,0,0,57,494,0,0
802,Bird,Parakeet,36,Black,Large,14.399140942347113,1,0,6,109,0,0
803,Rabbit,Rabbit,126,Black,Large,27.18780833129154,1,1,49,481,1,0
804,Dog,Labrador,68,White,Large,2.4747492854388127,0,0,22,467,0,0
805,Rabbit,Rabbit,78,Orange,Medium,26.043147286950983,1,1,77,337,0,0
806,Rabbit,Rabbit,105,Brown,Small,10.887486247635682,1,0,76,77,1,0
807,Cat,Siamese,169,Black,Large,27.085870187792985,0,0,4,465,0,0
808,Cat,Siamese,122,Orange,Small,28.285517283903054,0,0,72,1,0,0
809,Cat,Siamese,119,Orange,Large,20.455081723055272,0,1,64,320,1,0
810,Rabbit,Rabbit,114,Brown,Large,20.268289811187657,1,0,37,275,0,0
811,Dog,Labrador,10,Orange,Small,14.129875793553461,0,0,31,289,0,1
812,Rabbit,Rabbit,149,Orange,Small,25.230666511767517,0,1,37,296,1,0
813,Dog,Labrador,164,Orange,Small,28.886769994565213,0,0,45,168,0,0
814,Cat,Siamese,140,Black,Medium,23.477372209834456,1,0,8,239,0,1
815,Bird,Parakeet,91,Brown,Large,19.036165278944566,1,0,40,458,1,0
816,Bird,Parakeet,2,Orange,Medium,18.596993978818766,1,1,5,474,1,1
817,Rabbit,Rabbit,118,Orange,Small,25.634627145926206,0,0,28,22,0,0
818,Dog,Golden Retriever,13,Black,Large,16.69490920736765,1,0,81,293,0,1
819,Dog,Labrador,160,Brown,Medium,24.311936701215856,1,1,87,171,1,1
820,Rabbit,Rabbit,95,White,Large,15.757672400053128,1,0,9,322,1,0
821,Bird,Parakeet,144,Black,Medium,2.8108839742438,1,0,2,317,0,1
822,Dog,Golden Retriever,32,Brown,Small,12.134463258220501,1,0,63,395,0,0
823,Rabbit,Rabbit,32,Orange,Medium,13.888787772473464,1,0,51,285,0,1
824,Cat,Siamese,124,Brown,Large,5.106900104611899,0,0,31,478,1,0
825,Cat,Siamese,11,Brown,Large,3.9723935464871714,1,1,7,342,1,0
826,Cat,Persian,10,Brown,Large,16.52848354005167,1,0,30,192,1,1
827,Bird,Parakeet,15,White,Large,3.469165460126382,1,0,58,168,1,1
828,Rabbit,Rabbit,17,Brown,Small,9.785409868812435,1,0,3,403,0,1
829,Cat,Persian,168,White,Medium,22.593312302929203,1,0,51,117,0,1
830,Cat,Persian,146,Orange,Small,28.96853320747144,0,0,56,5,1,0
831,Bird,Parakeet,153,White,Small,21.818246836005926,0,0,73,330,1,0
832,Cat,Siamese,59,Orange,Small,29.786140905133237,1,0,10,482,0,0
833,Cat,Siamese,78,Orange,Large,21.251801167102677,1,0,61,131,0,0
834,Bird,Parakeet,124,White,Large,9.520039648975498,0,0,50,92,1,0
835,Cat,Persian,114,Black,Large,20.489523674655494,0,0,47,250,0,0
836,Cat,Siamese,22,Gray,Medium,21.362546190710212,1,1,1,9,0,1
