"Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Ash","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Kilocalories","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Manganese","Data.Niacin","Data.Pantothenic Acid","Data.Protein","Data.Refuse Percentage","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Household Weights.1st Household Weight","Data.Household Weights.1st Household Weight Description","Data.Household Weights.2nd Household Weight","Data.Household Weights.2nd Household Weight Description","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - IU","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"CHEESE","CHEESE,PARMESAN,HARD","1033","0","6.04","28","0","3.22","68","15","0.0","392","0","0","0.02","0.271","0.453","35.75","0","106","0.332","22.5","0.800000012","0.039","29.16","7.515","0.569","16.41","25.83","28.35","1 oz","10","1 cubic inch","1184","0.032","0.82","44","694","92","1602","2.75","399","108","1.2","0.091","0.0","0.23","1.7"
"CHEESE","CHEESE,PORT DE SALUT","1034","0","2.0","29","0","0.57","123","15","0.0","352","0","0","0.011","0.06","0.21","23.78","0","313","0.24","14.5","0.569999993","0.014","45.45","9.338","0.729","16.691","28.2","132.0","1 cup, diced","113","1 cup, shredded","650","0.022","0.43","24","360","136","534","2.6","1092","315","1.5","0.053","0.0","0.24","2.4"
"CHEESE","CHEESE,PROVOLONE","1035","0","4.71","68","0","2.14","69","15","0.0","351","0","0","0.01","0.156","0.476","25.58","0","230","0.321","14.5","0.560000002","0.019","40.95","7.393","0.769","17.078","26.62","132.0","1 cup, diced","28","1 oz","756","0.026","0.52","28","496","138","876","3.23","880","236","1.46","0.073","0.0","0.23","2.2"
"CHEESE","CHEESE,RICOTTA,WHOLE MILK","1036","0","1.02","33","0","3.04","51","18","0.0","174","0","0","0.006","0.104","0.213","11.26","0","117","0.195","14.5","0.270000011","0.013","71.7","3.627","0.385","8.295","12.98","246.0","1 cup","124",".5 cup","207","0.021","0.38","11","158","105","84","1.16","445","120","0.34","0.043","0.0","0.11","1.1"
"CHEESE","CHEESE,RICOTTA,PART SKIM MILK","1037","0","1.15","20","0","5.14","31","18","0.0","138","0","0","0.01","0.078","0.242","11.39","0","105","0.185","16.7","0.310000002","0.021","74.41","2.314","0.26","4.927","7.91","246.0","1 cup","28","1 oz","272","0.034","0.44","15","183","125","125","1.34","384","107","0.29","0.02","0.0","0.07","0.7"
"CHEESE","CHEESE,ROMANO","1038","0","6.72","69","0","3.63","104","15","0.0","387","0","0","0.02","0.077","0.424","31.8","0","90","0.37","14.5","0.730000019","0.037","30.91","7.838","0.593","17.115","26.94","28.35","1 oz","142","5 package,  (5 oz)","1064","0.03","0.77","41","760","86","1200","2.58","415","96","1.12","0.085","0.0","0.23","2.2"
"CHEESE","CHEESE,ROQUEFORT","1039","0","6.44","0","0","2.0","90","0","0.0","369","0","0","0.03","0.734","1.731","21.54","0","290","0.586","14.5","0.0","0.04","39.38","8.474","1.32","19.263","30.64","28.35","1 oz","85","1 package,  (3 oz)","662","0.034","0.56","30","392","91","1809","2.08","1047","294","0.64","0.124","0.0","0.0","0.0"
"CHEESE","CHEESE,SWISS","1040","0","2.77","70","0","5.38","92","16","0.0","380","0","0","0.005","0.092","0.429","26.93","0","214","0.296","18.2","1.320000052","0.063","37.12","7.274","0.972","17.779","27.8","132.0","1 cup, diced","244","1 cup, melted","791","0.043","0.2","38","567","77","192","4.36","830","220","3.34","0.083","0.0","0.38","2.5"
"CHEESE","CHEESE,TILSIT","1041","0","4.87","0","0","1.88","102","0","0.0","340","0","0","0.013","0.205","0.346","24.41","0","236","0.359","14.5","0.0","0.061","42.86","7.136","0.721","16.775","25.98","28.35","1 oz","170","1 package,  (6 oz)","700","0.026","0.23","13","500","65","753","3.5","1045","249","2.1","0.065","0.0","0.0","0.0"
"CHEESE","CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4","1042","0","5.84","82","0","1.6","94","36","0.0","375","0","0","0.008","0.069","0.482","22.15","0","247","0.353","14.4","0.50999999","0.027","39.16","8.951","0.99","19.694","31.25","140.0","1 cup, diced","244","1 cup, melted","552","0.016","0.19","27","513","169","1489","2.84","961","254","0.7","0.071","0.0","0.27","2.7"
"CHEESE","CHEESE,PAST PROCESS,PIMENTO","1043","12","5.84","151","0","1.73","94","36","0.100000001","375","20","0","0.016","0.078","0.485","22.13","0","235","0.354","14.5","0.629999995","0.027","39.08","8.937","0.988","19.663","31.2","140.0","1 cup, diced","244","1 cup, melted","614","0.033","0.42","22","744","162","1428","2.98","1045","248","0.7","0.071","2.3","0.29","2.9"
"CHEESE","CHEESE,PAST PROCESS,SWISS,W/DI NA PO4","1044","0","5.85","63","0","2.1","85","36","0.0","334","0","0","0.014","0.038","0.26","24.73","0","192","0.276","15.9","1.230000019","0.014","42.31","7.046","0.622","16.045","25.01","140.0","1 cup, diced","113","1 cup, shredded","772","0.027","0.61","29","762","216","1370","3.61","746","198","1.23","0.036","0.0","0.34","2.2"
"CHEESE FD","CHEESE FD,COLD PK,AMERICAN","1045","0","4.44","0","0","8.32","64","0","0.0","331","0","0","0.01","0.074","0.977","19.66","0","148","0.446","16.2","0.0","0.03","43.12","7.165","0.719","15.355","24.46","28.35","1 oz","227","1 package,  (8 oz)","497","0.03","0.84","30","400","363","966","3.01","705","159","1.28","0.141","0.0","0.0","0.0"
"CHEESE FD","CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4","1046","0","5.38","65","0","7.83","80","36","0.0","330","0","0","0.073","0.17","0.974","18.4","0","196","0.517","16.1","7.429999828","0.068","43.21","7.214","1.108","14.895","25.18","113.0","1 cup","28","1 oz","570","0.085","0.57","31","439","291","1265","3.19","761","201","1.26","0.073","0.0","0.22","3.4"
"CHEESE FD","CHEESE FD,PAST PROCESS,SWISS","1047","0","5.77","0","0","4.5","82","0","0.0","323","0","0","0.01","0.104","0.5","21.92","0","233","0.4","16.1","0.0","0.014","43.67","6.801","0.6","15.487","24.14","28.35","1 oz","227","1 package,  (8 oz)","723","0.03","0.6","28","526","284","1552","3.55","856","237","2.3","0.035","0.0","0.0","0.0"
"CHEESE SPRD","CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4","1048","0","5.98","55","0","8.73","55","36","0.0","290","0","0","0.02","0.131","0.686","16.41","0","168","0.431","11.3","7.320000172","0.048","47.65","6.219","0.624","13.327","21.23","140.0","1 cup, diced","244","1 cup","562","0.033","0.33","29","712","242","1345","2.59","653","173","0.4","0.117","0.0","0.19","1.8"
"CREAM","CREAM,FLUID,HALF AND HALF","1049","0","0.67","22","0","4.3","37","19","0.0","130","0","0","0.001","0.078","0.289","2.96","0","95","0.149","1.8","0.159999996","0.035","80.57","3.321","0.427","7.158","11.5","242.0","1 cup","15","1 tbsp","105","0.01","0.07","10","95","130","41","0.51","354","97","0.33","0.039","0.9","0.33","1.3"
"CREAM","CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)","1050","0","0.58","37","0","3.66","66","17","0.0","195","0","0","0.001","0.057","0.276","2.7","0","178","0.148","0.6","0.140000001","0.032","73.75","5.577","0.717","12.02","19.31","240.0","1 cup","15","1 tbsp","96","0.008","0.04","9","80","122","40","0.27","656","181","0.22","0.032","0.8","0.55","1.7"
"CREAM","CREAM,FLUID,LT WHIPPING","1052","0","0.46","60","0","2.96","111","17","0.0","292","0","0","0.001","0.042","0.259","2.17","0","274","0.125","0.5","0.109999999","0.024","63.5","9.093","0.884","19.337","30.91","120.0","1 cup,  whipped","239","1 cup, fluid (yields 2 cups whipped)","69","0.007","0.03","7","61","97","34","0.25","1013","279","0.2","0.028","0.6","0.88","2.7"
"CREAM","CREAM,FLUID,HVY WHIPPING","1053","0","0.45","72","0","2.79","137","17","0.0","345","0","0","0.001","0.039","0.255","2.05","0","405","0.11","0.5","0.109999999","0.022","57.71","10.686","1.374","23.032","37.0","119.5","1 cup,  whipped","238","1 cup, fluid (yields 2 cups whipped)","65","0.006","0.03","7","62","75","38","0.23","1470","411","0.18","0.026","0.6","1.06","3.2"
"CREAM","CREAM,WHIPPED,CRM TOPPING,PRESSURIZED","1054","0","0.76","43","0","12.49","76","17","0.0","257","0","0","0.001","0.07","0.305","3.2","0","184","0.065","1.4","8.0","0.037","61.33","6.418","0.825","13.831","22.22","60.0","1 cup","3","1 tbsp","101","0.01","0.05","11","89","147","130","0.37","685","188","0.29","0.041","0.0","0.64","1.9"
"CREAM","CREAM,SOUR,RED FAT,CULTURED","1055","0","0.66","23","0","4.26","39","19","0.0","135","0","0","0.003","0.067","0.363","2.94","0","100","0.149","2.1","0.159999996","0.035","80.14","3.466","0.446","7.47","12.0","242.0","1 cup","15","1 tbsp","104","0.016","0.07","10","95","129","41","0.5","372","102","0.3","0.016","0.9","0.34","0.6"
"CREAM","CREAM,SOUR,CULTURED","1056","0","0.85","26","0","2.88","52","19","0.0","193","0","0","0.011","0.109","0.336","2.07","0","160","0.172","2.6","3.5","0.036","74.46","5.068","0.84","11.507","19.73","230.0","1 cup","12","1 tbsp","110","0.019","0.17","10","115","141","80","0.38","576","162","0.28","0.057","0.9","0.44","1.8"
"No Category","EGGNOG","1057","0","0.8","6","1","13.54","59","52","0.0","135","54","0","0.005","0.105","0.417","3.81","0","45","0.19","4.2","8.409999847","0.034","74.37","2.233","0.339","4.443","7.48","254.0","1 cup","32","1 fl oz","130","0.013","0.2","19","109","165","54","0.46","161","46","0.45","0.05","1.5","0.2","0.2"
"SOUR DRSNG","SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE","1058","0","0.71","0","0","4.68","5","15","0.0","178","0","0","0.002","0.074","0.398","3.25","0","3","0.163","2.3","4.679999828","0.038","74.79","1.958","0.468","13.272","16.57","235.0","1 cup","12","1 tbsp","113","0.01","0.03","10","87","162","48","0.37","10","3","0.33","0.017","0.9","1.34","4.1"
"MILK","MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS","1059","0","0.8","0","0","4.74","2","0","0.0","63","0","0","0.002","0.087","0.301","3.33","0","2","0.123","2.0","0.0","0.03","87.67","1.783","0.75","0.768","3.46","244.0","1 cup","976","1 quart","128","0.01","0.05","13","97","139","57","0.36","7","2","0.34","0.04","0.9","0.0","0.0"
"MILK","MILK,FILLED,FLUID,W/LAURIC ACID OIL","1060","0","0.8","0","0","4.74","2","15","0.0","63","0","0","0.002","0.087","0.301","3.33","0","2","0.123","2.0","4.739999771","0.03","87.73","0.1","0.01","3.101","3.4","244.0","1 cup","30","1 fl oz","128","0.01","0.05","13","97","139","57","0.36","7","2","0.34","0.04","0.9","0.13","0.8"
"CREAM SUB","CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT","1067","0","0.38","9","0","11.38","0","0","0.0","136","0","0","0.0","0.0","0.0","1.0","0","0","0.0","1.1","11.38000011","0.0","77.27","7.551","0.027","1.937","9.97","240.0","1 cup","30","1 fl oz","9","0.0","0.03","0","64","191","79","0.02","15","1","0.0","0.0","0.0","0.81","2.5"
"CREAM SUB","CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE","1068","0","0.38","0","0","11.38","0","0","0.0","136","0","0","0.04","0.0","0.0","1.0","0","0","0.0","1.1","0.0","0.0","77.27","0.106","0.003","9.304","9.97","15.0","1 container,  individual","120",".5 cup","9","0.025","0.03","0","64","191","79","0.02","89","4","0.0","0.0","0.0","0.0","0.0"
"CREAM SUBSTITUTE","CREAM SUBSTITUTE,POWDERED","1069","0","2.64","20","0","54.88","0","2","0.0","545","0","0","0.22","0.0","0.0","4.79","0","0","0.165","0.6","54.88000107","0.0","2.21","0.968","0.014","32.525","35.48","94.0","1 cup","2","1 tsp","22","0.115","1.15","4","422","812","181","0.51","33","2","0.0","0.0","0.0","0.59","8.8"
"DESSERT TOPPING","DESSERT TOPPING,POWDERED","1070","0","1.17","108","0","52.54","0","0","0.0","577","0","0","0.225","0.0","0.0","4.9","0","0","0.0","0.6","52.54000092","0.0","1.47","0.6","0.447","36.723","39.92","42.5","1.5 oz","1","1 portion,  amount to make 1 tbsp","17","0.118","0.03","7","74","166","122","0.08","180","9","0.0","0.0","0.0","1.52","9.9"
"DESSERT TOPPING","DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK","1071","0","0.81","32","0","16.53","10","11","0.0","188","0","0","0.005","0.06","0.226","3.6","0","21","0.117","4.8","16.53000069","0.027","66.65","0.843","0.201","10.684","12.41","80.0","1 cup","4","1 tbsp","90","0.012","0.04","10","86","151","66","0.27","122","23","0.26","0.03","0.7","0.44","2.7"
"DESSERT TOPPING","DESSERT TOPPING,PRESSURIZED","1072","0","0.28","47","0","16.07","0","0","0.0","264","0","0","0.045","0.0","0.0","0.98","0","0","0.0","1.5","16.06999969","0.0","60.37","1.927","0.241","18.912","22.3","70.0","1 cup","4","1 tbsp","5","0.024","0.02","1","18","19","62","0.01","78","4","0.0","0.0","0.0","0.85","5.5"
"DESSERT TOPPING","DESSERT TOPPING,SEMI SOLID,FRZ","1073","0","0.18","86","0","23.05","0","0","0.0","318","0","0","0.058","0.0","0.0","1.25","0","0","0.0","2.1","23.04999924","0.0","50.21","1.616","0.523","21.783","25.31","75.0","1 cup","4","1 tbsp","6","0.03","0.12","2","8","18","25","0.03","143","7","0.0","0.0","0.0","0.96","6.3"
"SOUR CRM","SOUR CRM,IMITN,CULTURED","1074","0","0.3","0","0","6.63","0","0","0.0","208","0","0","0.11","0.0","0.0","2.4","0","0","0.0","2.5","6.630000114","0.0","71.15","0.588","0.056","17.791","19.52","230.0","1 cup","28","1 oz","3","0.058","0.39","6","45","161","102","1.18","0","0","0.0","0.0","0.0","0.74","4.8"
"MILK SUBSTITUTES","MILK SUBSTITUTES,FLUID W/HYDR VEG OILS","1075","0","0.5","0","0","6.16","0","0","0.0","61","0","0","0.097","0.0","0.0","1.75","0","0","0.088","1.9","6.159999847","0.012","88.18","1.998","0.488","0.767","3.41","244.0","1 cup","30","1 fl oz","33","0.051","0.39","6","74","114","78","1.18","0","0","0.0","0.0","0.0","0.28","0.8"
